Location,Year,Missing
BG,2000,1
CY,2000,1
CZ,2000,1
EE,2000,1
EU27_2007,2000,1
EU27_2020,2000,1
EU28,2000,1
HR,2000,1
HU,2000,1
IS,2000,1
LT,2000,1
LV,2000,1
MT,2000,1
NO,2000,1
PL,2000,1
RO,2000,1
SI,2000,1
SK,2000,1
BG,2001,1
CY,2001,1
CZ,2001,1
EE,2001,1
EU27_2007,2001,1
EU27_2020,2001,1
EU28,2001,1
HR,2001,1
HU,2001,1
IS,2001,1
LT,2001,1
LV,2001,1
MT,2001,1
NO,2001,1
PL,2001,1
PT,2001,1
RO,2001,1
SI,2001,1
SK,2001,1
BG,2002,1
CY,2002,1
CZ,2002,1
EE,2002,1
EU27_2007,2002,1
EU27_2020,2002,1
EU28,2002,1
HR,2002,1
HU,2002,1
IS,2002,1
LT,2002,1
LV,2002,1
MT,2002,1
NO,2002,1
PL,2002,1
RO,2002,1
SI,2002,1
SK,2002,1
BG,2003,1
CY,2003,1
CZ,2003,1
EE,2003,1
EU27_2007,2003,1
EU27_2020,2003,1
EU28,2003,1
HR,2003,1
HU,2003,1
IS,2003,1
LT,2003,1
LV,2003,1
MT,2003,1
NO,2003,1
PL,2003,1
RO,2003,1
SI,2003,1
SK,2003,1
BG,2004,1
EU27_2007,2004,1
EU27_2020,2004,1
EU28,2004,1
HR,2004,1
IS,2004,1
NO,2004,1
RO,2004,1
SK,2004,1
BG,2005,1
EU27_2007,2005,1
EU27_2020,2005,1
EU28,2005,1
HR,2005,1
IS,2005,1
NO,2005,1
RO,2005,1
BG,2006,1
EU27_2007,2006,1
EU27_2020,2006,1
EU28,2006,1
HR,2006,1
IS,2006,1
NO,2006,1
RO,2006,1
EU28,2007,1
HR,2007,1
IS,2007,1
NO,2007,1
EU28,2008,1
HR,2008,1
IS,2008,1
NO,2008,1
EU28,2009,1
HR,2009,1
IS,2009,1
NO,2009,1
EU28,2010,1
HR,2010,1
IS,2010,1
NO,2010,1
EU28,2011,1
HR,2011,1
IS,2011,1
NO,2011,1
EU28,2012,1
HR,2012,1
IS,2012,1
NO,2012,1
EU28,2013,1
IS,2013,1
NO,2013,1
EU27_2007,2014,1
IS,2014,1
NO,2014,1
EU27_2007,2015,1
IS,2015,1
NO,2015,1
EU27_2007,2016,1
IS,2016,1
NO,2016,1
EU27_2007,2017,1
IS,2017,1
NO,2017,1
EU27_2007,2018,1
EU28,2018,1
NO,2018,1
EU27_2007,2019,1
EU28,2019,1
