Location,Year,Average_CO2_Emission_perkm
AT,2000,168
BE,2000,166.5
DE,2000,182.2
DK,2000,175.7
EL,2000,180.3
ES,2000,159.2
FI,2000,181.1
FR,2000,163.6
IE,2000,161.3
IT,2000,155.1
LU,2000,176.7
NL,2000,174.2
SE,2000,200
UK,2000,185.4
AT,2001,165.6
BE,2001,163.7
DE,2001,179.5
DK,2001,172.9
EL,2001,166.5
ES,2001,156.8
FI,2001,178.1
FR,2001,159.8
IE,2001,166.6
IT,2001,158.3
LU,2001,177
NL,2001,174
SE,2001,200.2
UK,2001,177.9
AT,2002,164.4
BE,2002,161.1
DE,2002,177.4
DK,2002,170
EL,2002,167.8
ES,2002,156.4
FI,2002,177.2
FR,2002,156.8
IE,2002,164.3
IT,2002,156.6
LU,2002,173.8
NL,2002,172.4
SE,2002,198.2
UK,2002,174.8
AT,2003,163.8
BE,2003,158.1
DE,2003,175.9
DK,2003,169
EL,2003,168.9
ES,2003,157
FI,2003,178.3
FR,2003,155
IE,2003,166.7
IT,2003,152.9
LU,2003,173.5
NL,2003,173.5
SE,2003,198.5
UK,2003,172.7
AT,2004,161.9
BE,2004,156.5
DE,2004,174.9
DK,2004,165.9
EL,2004,168.8
ES,2004,155.3
FI,2004,179.8
FR,2004,153.1
IE,2004,167.6
IT,2004,150
LU,2004,169.7
NL,2004,171
SE,2004,197.2
UK,2004,171.4
AT,2005,162.1
BE,2005,155.2
DE,2005,173.4
DK,2005,163.7
EL,2005,167.4
ES,2005,155.3
FI,2005,179.5
FR,2005,152.3
IE,2005,166.8
IT,2005,149.5
LU,2005,168.6
NL,2005,169.9
SE,2005,193.8
UK,2005,169.7
AT,2006,163.7
BE,2006,153.9
DE,2006,172.5
DK,2006,162.5
EL,2006,166.5
ES,2006,155.6
FI,2006,179.2
FR,2006,149.9
IE,2006,166.3
IT,2006,149.2
LU,2006,168.2
NL,2006,166.7
SE,2006,188.6
UK,2006,167.7
AT,2007,162.9
BE,2007,152.8
DE,2007,169.5
DK,2007,159.8
EL,2007,165.3
ES,2007,153.2
FI,2007,177.3
FR,2007,149.4
IE,2007,161.6
IT,2007,146.5
LU,2007,165.8
NL,2007,164.8
SE,2007,181.4
UK,2007,164.7
AT,2008,158.1
BE,2008,147.8
DE,2008,164.8
DK,2008,146.4
EL,2008,160.8
ES,2008,148.2
FI,2008,162.9
FR,2008,140.1
IE,2008,156.8
IT,2008,144.7
LU,2008,159.5
NL,2008,156.7
SE,2008,173.9
UK,2008,158.2
AT,2009,150.2
BE,2009,142.1
DE,2009,154
DK,2009,139.1
EL,2009,157.4
ES,2009,142.2
FI,2009,157
FR,2009,133.5
IE,2009,144.4
IT,2009,136.3
LU,2009,152.5
NL,2009,146.9
SE,2009,164.5
UK,2009,149.7
AT,2010,144
BE,2010,133.4
DE,2010,151.1
DK,2010,126.2
EL,2010,143.7
ES,2010,137.9
FI,2010,149
FR,2010,130.5
IE,2010,133.2
IT,2010,132.7
LU,2010,146
NL,2010,135.8
SE,2010,151.3
UK,2010,144.2
AT,2011,138.7
BE,2011,127.2
DE,2011,145.6
DK,2011,125
EL,2011,132.7
ES,2011,133.8
FI,2011,144
FR,2011,127.7
IE,2011,128.3
IT,2011,129.6
LU,2011,142.2
NL,2011,126.1
SE,2011,141.8
UK,2011,138
AT,2012,135.7
BE,2012,128
DE,2012,141.6
DK,2012,117
EL,2012,121.1
ES,2012,128.7
FI,2012,139.1
FR,2012,124.4
IE,2012,125.1
IT,2012,126.2
LU,2012,137
NL,2012,118.6
SE,2012,135.9
UK,2012,132.9
AT,2013,131.6
BE,2013,124.0
DE,2013,136.1
DK,2013,112.7
EL,2013,111.9
ES,2013,122.4
FI,2013,131.8
FR,2013,117.4
IE,2013,120.7
IT,2013,121.1
LU,2013,133.4
NL,2013,109.1
SE,2013,133.2
UK,2013,128.3
AT,2014,128.5
BE,2014,121.3
DE,2014,132.5
DK,2014,110.2
EL,2014,108.2
ES,2014,118.6
FI,2014,127.4
FR,2014,114.2
IE,2014,117.1
IT,2014,118.1
LU,2014,129.9
NL,2014,107.3
SE,2014,131.0
UK,2014,124.6
AT,2015,123.7
BE,2015,117.9
DE,2015,128.3
DK,2015,106.2
EL,2015,106.4
ES,2015,115.3
FI,2015,123.0
FR,2015,111.0
IE,2015,114.1
IT,2015,115.2
LU,2015,127.5
NL,2015,101.2
SE,2015,126.3
UK,2015,121.3
AT,2016,120.4
BE,2016,115.9
DE,2016,126.9
DK,2016,106.0
EL,2016,106.3
ES,2016,114.4
FI,2016,120.0
FR,2016,109.8
IE,2016,112.0
IT,2016,113.3
LU,2016,126.1
NL,2016,105.9
SE,2016,123.1
UK,2016,120.1
AT,2017,120.7
BE,2017,115.9
DE,2017,127.2
DK,2017,107.1
EL,2017,108.8
ES,2017,115.0
FI,2017,118.2
FR,2017,110.4
IE,2017,111.6
IT,2017,113.3
LU,2017,127.0
NL,2017,108.3
SE,2017,122.3
UK,2017,121.1
AT,2018,123.0
BE,2018,119.4
DE,2018,129.5
DK,2018,109.6
EL,2018,111.4
ES,2018,118.1
FI,2018,116.7
FR,2018,112.2
IE,2018,113.3
IT,2018,115.9
LU,2018,131.4
NL,2018,105.5
SE,2018,122.2
UK,2018,124.6
AT,2019,125.5
BE,2019,121.5
DE,2019,131.2
DK,2019,111.9
EL,2019,115.6
ES,2019,121.3
FI,2019,115.3
FR,2019,113.7
IE,2019,114.0
IT,2019,119.4
LU,2019,133.0
NL,2019,98.4
SE,2019,119.7
UK,2019,127.7
