freq,unit,tra_meas,tra_cov,schedule,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PAS,PAS_CRD,TOTAL,TOT,AT	21817267 	23532455 	25137612 	25965977 	25749724 	26378676 	26754007 	27181511 	28327279 	31138417 	35644188 	9168431 
A,PAS,PAS_CRD,TOTAL,TOT,BE	21316690 	22697764 	25102695 	25919515 	26389927 	28776258 	30958841 	30115832 	33260493 	34506309 	35385188 	9465828 
A,PAS,PAS_CRD,TOTAL,TOT,BG	5840825 	6169323 	6652007 	6819103 	7079292 	7520697 	7610949 	9324217 	11092651 	12137714 	11713068 	3729017 
A,PAS,PAS_CRD,TOTAL,TOT,CH	35928169 	37615959 	41439848 	43236086 	44217568 	46127426 	48026375 	50505492 	53564943 	56139549 	57194328 	16006811 
A,PAS,PAS_CRD,TOTAL,TOT,CY	6729787 	6948288 	7190387 	7328300 	7011437 	7328546 	7590787 	8961817 	10238913 	10927101 	11261410 	2270577 
A,PAS,PAS_CRD,TOTAL,TOT,CZ	12367467 	12242386 	12650532 	11742352 	11891812 	12079873 	12672004 	13672362 	16245554 	17838221 	18832696 	3821372 
A,PAS,PAS_CRD,TOTAL,TOT,DE	158148829 	166130833 	175316076 	178591103 	180783188 	186445814 	193936430 	200687293 	212389343 	222422361 	226764086 	57795978 
A,PAS,PAS_CRD,TOTAL,TOT,DK	22277524 	24334687 	25808321 	26532730 	27459623 	29015133 	30095505 	32763142 	33261214 	34701139 	34780127 	8658654 
A,PAS,PAS_CRD,TOTAL,TOT,EE	1341294 	1381062 	1907569 	2202427 	1958565 	2019806 	2160978 	2214989 	2635145 	2995528 	3258003 	857837 
A,PAS,PAS_CRD,TOTAL,TOT,EL	33440269 	32588072 	33770739 	32082336 	34023934 	39117833 	42096402 	45543371 	50170728 	54258826 	56088527 	17341192 
A,PAS,PAS_CRD,TOTAL,TOT,ES	148318298 	153387014 	165153230 	159771261 	157731973 	165354382 	174652503 	193872037 	209824089 	220611429 	228262372 	57797305 
