Country,Year,ModalSplit_VehicleType,ModalSplit_ModalSplitKm,ModalTransportToGDP_GDP,RailwayLength_RailwayLengthKm,RailwayTransport_RailwayTransportKm,AirTransport_AirTransportKm,MotorwayNetwork_Unit,MotorwayNetwork_MotorwayLengthKm,RailwayNetwork_RailwayLengthKm,RoadTrafficDeaths_TypeOfRoad,RoadTrafficDeaths_Unit,RoadTrafficDeaths_RoadTrafficDeaths,MotorwayLength_TypeOfRoad,MotorwayLength_LengthOfMotorways
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM,418.0,4379.0,MWAY,NR,36.0,MWAY,418.0
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM,418.0,4379.0,MWAY,RT,0.5,MWAY,418.0
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM,418.0,4379.0,RD_RUR,NR,553.0,MWAY,418.0
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM,418.0,4379.0,RD_RUR,RT,7.4,MWAY,418.0
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM,418.0,4379.0,RD_URB,NR,312.0,MWAY,418.0
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM,418.0,4379.0,RD_URB,RT,4.2,MWAY,418.0
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM,418.0,4379.0,TOTAL,NR,901.0,MWAY,418.0
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM,418.0,4379.0,TOTAL,RT,12.1,MWAY,418.0
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM_TKM2,22.0,4379.0,MWAY,NR,36.0,MWAY,418.0
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM_TKM2,22.0,4379.0,MWAY,RT,0.5,MWAY,418.0
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM_TKM2,22.0,4379.0,RD_RUR,NR,553.0,MWAY,418.0
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM_TKM2,22.0,4379.0,RD_RUR,RT,7.4,MWAY,418.0
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM_TKM2,22.0,4379.0,RD_URB,NR,312.0,MWAY,418.0
BG,2009,BUS_TOT,16.8,99.9,4150.0,2138.0,5840825.0,KM_TKM2,22.0,4379.0,RD_URB,RT,4.2,MWAY,418.0
