Year,Country,Unit,MotorwayLengthKm
2008,AT,KM,1697.0
2008,AT,KM_TKM2,279.0
2008,BE,KM,1765.0
2008,BE,KM_TKM2,666.0
2008,BG,KM,418.0
2008,BG,KM_TKM2,22.0
2008,CH,KM,1383.0
2008,CH,KM_TKM2,308.0
2008,CY,KM,257.0
2008,CY,KM_TKM2,28.0
2008,CZ,KM,691.0
2008,CZ,KM_TKM2,81.0
2008,DE,KM,12641.0
2008,DE,KM_TKM2,1780.0
2008,DK,KM,1129.0
2008,DK,KM_TKM2,163.0
2008,EE,KM,104.0
2008,EE,KM_TKM2,2.0
2008,ES,KM,13514.0
2008,ES,KM_TKM2,613.0
2008,FI,KM,738.0
2008,FI,KM_TKM2,39.0
2008,FR,KM,11042.0
2008,FR,KM_TKM2,479.0
2008,HR,KM,1199.0
2008,HR,KM_TKM2,43.0
2008,HU,KM,995.0
2008,HU,KM_TKM2,75.0
2008,IT,KM,6629.0
2008,IT,KM_TKM2,485.0
2008,LU,KM,147.0
2008,LU,KM_TKM2,57.0
2008,LV,KM,0.0
2008,LV,KM_TKM2,0.0
2008,NL,KM,2583.0
2008,NL,KM_TKM2,918.0
2008,NO,KM,258.0
2008,NO,KM_TKM2,26.0
2008,PL,KM,765.0
2008,PL,KM_TKM2,41.0
2008,PT,KM,0.0
2008,PT,KM_TKM2,0.0
2008,RO,KM,281.0
2008,RO,KM_TKM2,36.0
2008,SE,KM,1856.0
2008,SE,KM_TKM2,98.0
2008,SK,KM,392.0
2008,SK,KM_TKM2,72.0
2008,TR,KM,2010.0
2008,TR,KM_TKM2,125.0
2008,UK,KM,114.0
2008,UK,KM_TKM2,8.0
2009,AT,KM,1697.0
2009,AT,KM_TKM2,279.0
2009,BE,KM,1765.0
2009,BE,KM_TKM2,666.0
2009,BG,KM,418.0
2009,BG,KM_TKM2,22.0
2009,CH,KM,1406.0
2009,CH,KM_TKM2,322.0
2009,CY,KM,257.0
2009,CY,KM_TKM2,28.0
2009,CZ,KM,730.0
2009,CZ,KM_TKM2,86.0
2009,DE,KM,12825.0
2009,DE,KM_TKM2,1796.0
2009,DK,KM,1130.0
2009,DK,KM_TKM2,163.0
2009,EE,KM,100.0
2009,EE,KM_TKM2,2.0
2009,ES,KM,14023.0
2009,ES,KM_TKM2,626.0
2009,FI,KM,764.0
2009,FI,KM_TKM2,42.0
2009,FR,KM,11163.0
2009,FR,KM_TKM2,482.0
2009,HR,KM,1244.0
2009,HR,KM_TKM2,44.0
2009,HU,KM,993.0
2009,HU,KM_TKM2,75.0
2009,IT,KM,6661.0
2009,IT,KM_TKM2,487.0
2009,LU,KM,152.0
2009,LU,KM_TKM2,59.0
2009,LV,KM,0.0
2009,LV,KM_TKM2,0.0
2009,NL,KM,2633.0
2009,NL,KM_TKM2,934.0
2009,NO,KM,344.0
2009,NO,KM_TKM2,31.0
2009,PL,KM,849.0
2009,PL,KM_TKM2,45.0
2009,PT,KM,0.0
2009,PT,KM_TKM2,0.0
2009,RO,KM,321.0
2009,RO,KM_TKM2,37.0
2009,SE,KM,1924.0
2009,SE,KM_TKM2,105.0
2009,SK,KM,400.0
2009,SK,KM_TKM2,73.0
2009,TR,KM,2036.0
2009,TR,KM_TKM2,124.0
2009,UK,KM,114.0
2009,UK,KM_TKM2,8.0
2010,AT,KM,1719.0
2010,AT,KM_TKM2,280.0
2010,BE,KM,1765.0
2010,BE,KM_TKM2,666.0
2010,BG,KM,437.0
2010,BG,KM_TKM2,22.0
2010,CH,KM,1406.0
2010,CH,KM_TKM2,322.0
2010,CY,KM,257.0
2010,CY,KM_TKM2,28.0
2010,CZ,KM,736.0
2010,CZ,KM_TKM2,87.0
2010,DE,KM,10342.0
2010,DE,KM_TKM2,1556.0
2010,DK,KM,1130.0
2010,DK,KM_TKM2,163.0
2010,EE,KM,115.0
2010,EE,KM_TKM2,3.0
2010,ES,KM,14263.0
2010,ES,KM_TKM2,632.0
2010,FI,KM,779.0
2010,FI,KM_TKM2,43.0
2010,FR,KM,11392.0
2010,FR,KM_TKM2,491.0
2010,HR,KM,1244.0
2010,HR,KM_TKM2,44.0
2010,HU,KM,1179.0
2010,HU,KM_TKM2,88.0
2010,IT,KM,6668.0
2010,IT,KM_TKM2,487.0
2010,LU,KM,152.0
2010,LU,KM_TKM2,59.0
2010,LV,KM,0.0
2010,LV,KM_TKM2,0.0
2010,NL,KM,2648.0
2010,NL,KM_TKM2,938.0
2010,NO,KM,381.0
2010,NO,KM_TKM2,33.0
2010,PL,KM,857.0
2010,PL,KM_TKM2,46.0
2010,PT,KM,0.0
2010,PT,KM_TKM2,0.0
2010,RO,KM,332.0
2010,RO,KM_TKM2,38.0
2010,SE,KM,1972.0
2010,SE,KM_TKM2,106.0
2010,SK,KM,427.0
2010,SK,KM_TKM2,75.0
2010,TR,KM,2080.0
2010,TR,KM_TKM2,125.0
2010,UK,KM,114.0
2010,UK,KM_TKM2,8.0
2011,AT,KM,1719.0
2011,AT,KM_TKM2,280.0
2011,BE,KM,1765.0
2011,BE,KM_TKM2,666.0
2011,BG,KM,458.0
2011,BG,KM_TKM2,23.0
2011,CH,KM,1415.0
2011,CH,KM_TKM2,324.0
2011,CY,KM,257.0
