freq,tra_infr,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,MWAY,KM,AT11	80 	80 	80 	80 	80 	80 	80 	80 	80 	80 	80 	80 
A,MWAY,KM,AT12	328 	328 	350 	350 	350 	350 	350 	350 	350 	375 	375 	380 
A,MWAY,KM,AT13	43 	43 	43 	43 	43 	43 	43 	43 	43 	43 	43 	43 
A,MWAY,KM,AT21	243 	243 	243 	243 	243 	243 	243 	243 	243 	243 	243 	243 
A,MWAY,KM,AT22	308 	308 	308 	308 	308 	308 	308 	308 	308 	308 	308 	308 
A,MWAY,KM,AT31	299 	299 	299 	299 	299 	299 	299 	299 	299 	299 	299 	299 
A,MWAY,KM,AT32	144 	144 	144 	144 	144 	144 	144 	144 	144 	144 	144 	144 
A,MWAY,KM,AT33	189 	189 	189 	189 	189 	189 	189 	189 	189 	189 	189 	189 
A,MWAY,KM,AT34	63 	63 	63 	63 	63 	63 	63 	63 	63 	63 	63 	63 
A,MWAY,KM,BE10	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 
A,MWAY,KM,BE21	220 	220 	220 	220 	220 	220 	220 	220 	220 	220 	220 	220 
A,MWAY,KM,BE22	106 	106 	106 	106 	106 	106 	106 	106 	106 	106 	106 	106 
A,MWAY,KM,BE23	196 	196 	196 	196 	196 	196 	196 	196 	196 	196 	196 	196 
A,MWAY,KM,BE24	175 	175 	175 	175 	175 	175 	175 	175 	175 	175 	175 	175 
A,MWAY,KM,BE25	187 	187 	187 	187 	187 	187 	187 	187 	187 	187 	187 	187 
A,MWAY,KM,BE31	63 	63 	63 	63 	63 	63 	63 	63 	63 	63 	63 	63 
A,MWAY,KM,BE32	284 	284 	284 	284 	284 	284 	284 	284 	284 	284 	284 	284 
A,MWAY,KM,BE33	266 	266 	266 	266 	266 	266 	266 	266 	266 	266 	266 	266 
A,MWAY,KM,BE34	154 	154 	154 	154 	154 	154 	154 	154 	154 	154 	154 	154 
A,MWAY,KM,BE35	103 	103 	103 	103 	103 	103 	103 	103 	103 	103 	103 	103 
A,MWAY,KM,BG31	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	18 
A,MWAY,KM,BG32	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,BG33	84 	84 	84 	84 	84 	91 	91 	95 	95 	95 	95 	95 
A,MWAY,KM,BG34	87 	87 	87 	87 	171 	203 	204 	223 	221 	222 	223 	223 
A,MWAY,KM,BG41	118 	118 	118 	139 	138 	163 	163 	215 	223 	216 	240 	262 
A,MWAY,KM,BG42	122 	122 	141 	141 	141 	141 	145 	194 	194 	194 	192 	192 
A,MWAY,KM,CH01	280 	280 	280 	280 	280 	280 	280 	337 	344 	344 	344 	: 
A,MWAY,KM,CH02	319 	319 	319 	325 	329 	329 	340 	419 	424 	438 	438 	: 
A,MWAY,KM,CH03	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	: 
A,MWAY,KM,CH04	112 	135 	135 	138 	138 	138 	138 	151 	151 	151 	151 	: 
A,MWAY,KM,CH05	243 	243 	243 	243 	243 	243 	243 	383 	386 	386 	386 	: 
A,MWAY,KM,CH06	181 	181 	181 	181 	181 	181 	181 	259 	259 	259 	259 	: 
A,MWAY,KM,CH07	109 	109 	109 	109 	109 	109 	109 	137 	139 	139 	139 	: 
A,MWAY,KM,CY00	257 	257 	257 	257 	257 	257 	257 	257 	257 	257 	257 	257 
A,MWAY,KM,CZ01	11 	11 	11 	11 	11 	11 	11 	11 	44 	44 	44 	44 
A,MWAY,KM,CZ02	194 	194 	194 	194 	194 	194 	194 	194 	347 	351 	351 	351 
A,MWAY,KM,CZ03	125 	124 	125 	125 	125 	149 	149 	149 	157 	165 	172 	184 
A,MWAY,KM,CZ04	53 	53 	53 	57 	57 	56 	56 	56 	128 	128 	132 	132 
A,MWAY,KM,CZ05	24 	26 	26 	26 	26 	26 	26 	26 	34 	39 	39 	39 
A,MWAY,KM,CZ06	227 	227 	227 	227 	227 	227 	227 	227 	253 	253 	253 	253 
A,MWAY,KM,CZ07	29 	41 	46 	53 	53 	53 	53 	53 	160 	160 	160 	173 
A,MWAY,KM,CZ08	28 	54 	54 	54 	60 	60 	60 	60 	100 	100 	100 	100 
