freq,tra_infr,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,MWAY,KM,AT	1696 	1696 	1719 	1719 	1719 	1719 	1719 	1719 	1719 	1719 d	1743 	1743 
A,MWAY,KM,BE	1763 	1763 	1763 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,BG	418 	418 	437 	458 	541 	605 	610 	734 	734 	734 	757 	790 
A,MWAY,KM,CH	1383 	1406 	1406 	1415 	1419 	1419 	1429 	1440 	1447 	1458 	1462 	: 
A,MWAY,KM,CY	257 	257 	257 	257 	257 	257 	257 	257 d	257 d	257 	257 	257 
A,MWAY,KM,CZ	691 	729 	734 	745 	751 	776 	776 	776 	1222.661 d	1240 	1252 	1276 
A,MWAY,KM,DE	12645 	12813 	12819 	12845 	12879 	12917 	12949 	12993 	12996 	13009 	13141 	13183 
A,MWAY,KM,DK	1128 	: 	: 	: 	: 	1216 	1232 	1237 	1255 	1308 	1329 	: 
A,MWAY,KM,EE	104 	100 	115 	115 d	124 d	140 d	141 	147 	145 	154 	154 d	161 
A,MWAY,KM,ES	13518 d	14021 d	14262 d	14531 d	14701 d	14981 d	15049 d	15336 d	15444 	15523 	15585 d	: 
A,MWAY,KM,FI	739 	765 	779 	790 	780 	810 	881 	881 	890 	893 	926 	926 
A,MWAY,KM,FR	11042 	11163 	11392 	11413 	11413 	11552 	11560 	11599 	11612 	11618 	11671 	11671 
A,MWAY,KM,HR	1199 d	1244 d	1244 d	1254 	1254 	1289 	1290 	1310 	1310 	1310 	1310 	1310 
A,MWAY,KM,HU	1273.7 	1273 	1477 	1515.5 	1515.1 	1767 	1782 	1884 	1924 	1937 	1982 	1723.2 d
A,MWAY,KM,IE	423 	663 	900.27 	900 	900 	897 d	897 	916 	916 	916 	916 	995 
A,MWAY,KM,IT	6629 	6661 	6668 	6668 	6726 	6751 	6844 	6943 	6943 	6943 	6966 	: 
A,MWAY,KM,LI	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,LT	309 	309 	309 	309 	309 	309 	309 	309 	314 	324 	324 	403 
A,MWAY,KM,LU	147 	152 	152 	152 	152 	152 	152 	161 	161 	165 	165 	165 
A,MWAY,KM,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,MK	237 	251 	251 	259 	259 	259 	259 	259 	259 	259 	287 	335 
A,MWAY,KM,NL	2637 	2631 	2646 	2651 	2658 	2666 	2678 	2730 	2756 	2758 	2755 	2790 
A,MWAY,KM,NO	253 	344 	381 	393 	392 	: 	: 	: 	: 	523 	599 	1008 
A,MWAY,KM,PL	765 	849 	857 	1070 	1365 	1482 	1556 	1559 	1637 d	1637 d	1637 	1676 
A,MWAY,KM,PT	2673 d	2705 d	2737 d	2737 d	2988 d	3035 d	3065 d	3065 d	3065 d	3065 d	3065 d	3065 d
A,MWAY,KM,RO	281 	321 	332 	350 	550 	644 	683 	747 	747 	763 	823 	866 
A,MWAY,KM,RS	: 	: 	: 	: 	: 	607 	607 	693 	741 	963 	: 	: 
A,MWAY,KM,SE	1857 	1923 	1971 	1957 	2004 	2044 	2088 	2119 	2118 	2132 	2132 	2133 
A,MWAY,KM,SI	696 	747 	768 	768 	769 	607 d	607 d	610 d	610 d	618 d	623 d	623 
A,MWAY,KM,SK	384 	391 	415.7 	419.2 	419.2 	420 	420 	463 	463 	482 	482 	495 
A,MWAY,KM,TR	1922 	2036 	2080 	2119 	2127 	2244 	2278 	2282 	2542 	2657 	2842 	3060 
A,MWAY,KM,UK	3672.81 	3673.91 	3671.81 	3685.7 d	3732.52 	3756 	3760 	3768 	3764 	3803 	3838 	: 
A,MWAY,KM,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	109 	119 	137 
A,RD_EUR,KM,AT	2236 	2242 	2242 	2248 	2248 	2248 	2248 	2249 	2250 	2250 	2250 	2250 
A,RD_EUR,KM,BG	: 	: 	: 	2977 	2899 	2899 	2926 	2926 	2953 	2953 	2981 	2984 
A,RD_EUR,KM,CH	1466 	1466 	1466 	1466 	1466 	1466 	1466 d	: 	: 	: 	: 	: 
A,RD_EUR,KM,CZ	2604 	2603 	2636 	2634 	2634 	2632 	2628 	2628 	2628 	2631 	2630 	2629 
A,RD_EUR,KM,DK	936 	: 	: 	: 	: 	943 	944 	945 	945 	945 	945 	: 
A,RD_EUR,KM,EE	: 	: 	995 	995 	995 	995 	995 	953 	953 	953 	953 	953 
A,RD_EUR,KM,ES	: 	: 	: 	: 	: 	: 	0 d	: 	: 	: 	: 	: 
