,Country,VehicleType,Frequency_in_years
31,RS,BUS_TOT,20
68,RS,CAR,20
105,RS,TRN,20
142,RS,TRN_BUS_TOT_AVD,20
23,ME,BUS_TOT,20
60,ME,CAR,20
97,ME,TRN,20
134,ME,TRN_BUS_TOT_AVD,20
20,LT,BUS_TOT,10
57,LT,CAR,10
94,LT,TRN,10
131,LT,TRN_BUS_TOT_AVD,10
12,EU28,BUS_TOT,10
49,EU28,CAR,10
86,EU28,TRN,10
123,EU28,TRN_BUS_TOT_AVD,10
11,EU27_2020,BUS_TOT,10
48,EU27_2020,CAR,10
85,EU27_2020,TRN,10
122,EU27_2020,TRN_BUS_TOT_AVD,10
26,NL,BUS_TOT,8
63,NL,CAR,8
100,NL,TRN,8
137,NL,TRN_BUS_TOT_AVD,8
24,MK,BUS_TOT,8
61,MK,CAR,8
98,MK,TRN,8
135,MK,TRN_BUS_TOT_AVD,8
8,EE,BUS_TOT,8
45,EE,CAR,8
82,EE,TRN,8
119,EE,TRN_BUS_TOT_AVD,8
30,RO,BUS_TOT,5
67,RO,CAR,5
104,RO,TRN,5
141,RO,TRN_BUS_TOT_AVD,5
25,MT,BUS_TOT,5
62,MT,CAR,5
136,MT,TRN_BUS_TOT_AVD,5
22,LV,BUS_TOT,5
59,LV,CAR,5
96,LV,TRN,5
133,LV,TRN_BUS_TOT_AVD,5
18,IS,BUS_TOT,5
55,IS,CAR,5
129,IS,TRN_BUS_TOT_AVD,5
15,HR,BUS_TOT,5
52,HR,CAR,5
89,HR,TRN,5
126,HR,TRN_BUS_TOT_AVD,5
4,CY,BUS_TOT,5
41,CY,CAR,5
115,CY,TRN_BUS_TOT_AVD,5
2,BG,BUS_TOT,5
39,BG,CAR,5
76,BG,TRN,5
113,BG,TRN_BUS_TOT_AVD,5
27,NO,BUS_TOT,4
64,NO,CAR,4
101,NO,TRN,4
138,NO,TRN_BUS_TOT_AVD,4
34,SK,BUS_TOT,3
71,SK,CAR,3
108,SK,TRN,3
145,SK,TRN_BUS_TOT_AVD,3
5,CZ,BUS_TOT,3
42,CZ,CAR,3
79,CZ,TRN,3
116,CZ,TRN_BUS_TOT_AVD,3
29,PT,BUS_TOT,2
66,PT,CAR,2
103,PT,TRN,2
140,PT,TRN_BUS_TOT_AVD,2
35,TR,BUS_TOT,1
72,TR,CAR,1
109,TR,TRN,1
146,TR,TRN_BUS_TOT_AVD,1
