Country,Year,Missing
AT,1990,0
AT,1991,0
AT,1992,0
AT,1993,0
AT,1994,0
AT,1995,0
AT,1996,0
AT,1997,0
AT,1998,0
AT,1999,0
AT,2000,0
AT,2001,0
AT,2002,0
AT,2003,0
AT,2004,0
AT,2005,0
AT,2006,0
AT,2007,0
AT,2008,0
AT,2009,0
AT,2010,0
AT,2011,0
AT,2012,0
AT,2013,0
AT,2014,0
AT,2015,0
AT,2016,0
AT,2017,0
AT,2018,0
AT,2019,0
BE,1990,0
BE,1991,0
BE,1992,0
BE,1993,0
BE,1994,0
BE,1995,0
BE,1996,0
BE,1997,0
BE,1998,0
BE,1999,0
BE,2000,0
BE,2001,0
BE,2002,0
BE,2003,0
BE,2004,0
BE,2005,0
BE,2006,0
BE,2007,0
BE,2008,0
BE,2009,0
BE,2010,0
BE,2011,0
BE,2012,0
BE,2013,0
BE,2014,0
BE,2015,0
BE,2016,0
BE,2017,0
BE,2018,0
BE,2019,0
BG,1990,4
BG,1991,4
BG,1992,4
BG,1993,4
BG,1994,4
BG,1995,0
BG,1996,0
BG,1997,0
BG,1998,0
BG,1999,0
BG,2000,0
BG,2001,0
BG,2002,0
BG,2003,0
BG,2004,0
BG,2005,0
BG,2006,0
BG,2007,0
BG,2008,0
BG,2009,0
BG,2010,0
BG,2011,0
BG,2012,0
BG,2013,0
BG,2014,0
BG,2015,0
BG,2016,0
BG,2017,0
BG,2018,0
BG,2019,0
CH,1990,0
CH,1991,0
CH,1992,0
CH,1993,0
CH,1994,0
CH,1995,0
CH,1996,0
CH,1997,0
CH,1998,0
CH,1999,0
CH,2000,0
CH,2001,0
CH,2002,0
CH,2003,0
CH,2004,0
CH,2005,0
CH,2006,0
CH,2007,0
CH,2008,0
CH,2009,0
CH,2010,0
CH,2011,0
CH,2012,0
CH,2013,0
CH,2014,0
CH,2015,0
CH,2016,0
CH,2017,0
CH,2018,0
CH,2019,0
CY,1990,3
CY,1991,3
CY,1992,3
CY,1993,3
CY,1994,3
CY,1995,0
CY,1996,0
CY,1997,0
CY,1998,0
CY,1999,0
CY,2000,0
CY,2001,0
CY,2002,0
CY,2003,0
CY,2004,0
CY,2005,0
CY,2006,0
CY,2007,0
CY,2008,0
CY,2009,0
CY,2010,0
CY,2011,0
CY,2012,0
CY,2013,0
CY,2014,0
CY,2015,0
CY,2016,0
CY,2017,0
CY,2018,0
CY,2019,0
CZ,1990,4
CZ,1991,4
CZ,1992,4
CZ,1993,0
CZ,1994,0
CZ,1995,0
CZ,1996,0
CZ,1997,0
CZ,1998,0
CZ,1999,0
CZ,2000,0
CZ,2001,0
CZ,2002,0
CZ,2003,0
CZ,2004,0
CZ,2005,0
CZ,2006,0
CZ,2007,0
CZ,2008,0
CZ,2009,0
CZ,2010,0
CZ,2011,0
CZ,2012,0
CZ,2013,0
CZ,2014,0
CZ,2015,0
CZ,2016,0
CZ,2017,0
CZ,2018,0
CZ,2019,0
DE,1990,0
DE,1991,0
DE,1992,0
DE,1993,0
DE,1994,0
DE,1995,0
DE,1996,0
DE,1997,0
DE,1998,0
DE,1999,0
DE,2000,0
DE,2001,0
DE,2002,0
DE,2003,0
DE,2004,0
DE,2005,0
DE,2006,0
DE,2007,0
DE,2008,0
DE,2009,0
DE,2010,0
DE,2011,0
DE,2012,0
DE,2013,0
DE,2014,0
DE,2015,0
DE,2016,0
DE,2017,0
DE,2018,0
DE,2019,0
DK,1990,0
DK,1991,0
DK,1992,0
DK,1993,0
DK,1994,0
DK,1995,0
DK,1996,0
DK,1997,0
DK,1998,0
DK,1999,0
DK,2000,0
DK,2001,0
DK,2002,0
DK,2003,0
DK,2004,0
DK,2005,0
DK,2006,0
DK,2007,0
DK,2008,0
DK,2009,0
DK,2010,0
DK,2011,0
DK,2012,0
DK,2013,0
DK,2014,0
DK,2015,0
DK,2016,0
DK,2017,0
DK,2018,0
DK,2019,0
EE,1990,4
EE,1991,4
EE,1992,4
EE,1993,4
EE,1994,4
EE,1995,4
EE,1996,4
EE,1997,4
EE,1998,0
EE,1999,0
EE,2000,0
EE,2001,0
EE,2002,0
EE,2003,0
EE,2004,0
EE,2005,0
EE,2006,0
EE,2007,0
EE,2008,0
EE,2009,0
EE,2010,0
EE,2011,0
EE,2012,0
EE,2013,0
EE,2014,0
EE,2015,0
EE,2016,0
EE,2017,0
EE,2018,0
EE,2019,0
EL,1990,0
EL,1991,0
EL,1992,0
EL,1993,0
EL,1994,0
EL,1995,0
EL,1996,0
EL,1997,0
EL,1998,0
EL,1999,0
EL,2000,0
EL,2001,0
EL,2002,0
EL,2003,0
EL,2004,0
EL,2005,0
EL,2006,0
EL,2007,0
EL,2008,0
EL,2009,0
EL,2010,0
EL,2011,0
EL,2012,0
EL,2013,0
EL,2014,0
EL,2015,0
EL,2016,0
EL,2017,0
EL,2018,0
EL,2019,0
ES,1990,0
ES,1991,0
ES,1992,0
ES,1993,0
ES,1994,0
ES,1995,0
ES,1996,0
ES,1997,0
ES,1998,0
ES,1999,0
ES,2000,0
ES,2001,0
ES,2002,0
ES,2003,0
ES,2004,0
ES,2005,0
ES,2006,0
ES,2007,0
ES,2008,0
ES,2009,0
ES,2010,0
ES,2011,0
ES,2012,0
ES,2013,0
ES,2014,0
ES,2015,0
ES,2016,0
ES,2017,0
ES,2018,0
ES,2019,0
EU27_2020,1990,4
EU27_2020,1991,4
EU27_2020,1992,4
EU27_2020,1993,4
EU27_2020,1994,4
EU27_2020,1995,4
EU27_2020,1996,4
EU27_2020,1997,4
EU27_2020,1998,4
EU27_2020,1999,4
EU27_2020,2000,0
EU27_2020,2001,0
EU27_2020,2002,0
EU27_2020,2003,0
EU27_2020,2004,0
EU27_2020,2005,0
EU27_2020,2006,0
EU27_2020,2007,0
EU27_2020,2008,0
EU27_2020,2009,0
EU27_2020,2010,0
EU27_2020,2011,0
EU27_2020,2012,0
EU27_2020,2013,0
EU27_2020,2014,0
EU27_2020,2015,0
EU27_2020,2016,0
EU27_2020,2017,0
EU27_2020,2018,0
EU27_2020,2019,0
EU28,1990,4
EU28,1991,4
EU28,1992,4
EU28,1993,4
EU28,1994,4
EU28,1995,4
EU28,1996,4
EU28,1997,4
EU28,1998,4
EU28,1999,4
EU28,2000,0
EU28,2001,0
EU28,2002,0
EU28,2003,0
EU28,2004,0
EU28,2005,0
EU28,2006,0
EU28,2007,0
EU28,2008,0
EU28,2009,0
EU28,2010,0
EU28,2011,0
EU28,2012,0
EU28,2013,0
EU28,2014,0
EU28,2015,0
EU28,2016,0
EU28,2017,0
EU28,2018,0
EU28,2019,0
FI,1990,0
FI,1991,0
FI,1992,0
FI,1993,0
FI,1994,0
FI,1995,0
FI,1996,0
FI,1997,0
FI,1998,0
FI,1999,0
FI,2000,0
FI,2001,0
FI,2002,0
FI,2003,0
FI,2004,0
FI,2005,0
FI,2006,0
FI,2007,0
FI,2008,0
FI,2009,0
FI,2010,0
FI,2011,0
FI,2012,0
FI,2013,0
FI,2014,0
FI,2015,0
FI,2016,0
FI,2017,0
FI,2018,0
FI,2019,0
FR,1990,0
FR,1991,0
FR,1992,0
FR,1993,0
FR,1994,0
FR,1995,0
FR,1996,0
FR,1997,0
FR,1998,0
FR,1999,0
FR,2000,0
FR,2001,0
FR,2002,0
FR,2003,0
FR,2004,0
FR,2005,0
FR,2006,0
FR,2007,0
FR,2008,0
FR,2009,0
FR,2010,0
FR,2011,0
FR,2012,0
FR,2013,0
FR,2014,0
FR,2015,0
FR,2016,0
FR,2017,0
FR,2018,0
FR,2019,0
HR,1990,4
HR,1991,4
HR,1992,4
HR,1993,4
HR,1994,4
HR,1995,0
HR,1996,0
HR,1997,0
HR,1998,0
HR,1999,0
HR,2000,0
HR,2001,0
HR,2002,0
HR,2003,0
HR,2004,0
HR,2005,0
HR,2006,0
HR,2007,0
HR,2008,0
HR,2009,0
HR,2010,0
HR,2011,0
HR,2012,0
HR,2013,0
HR,2014,0
HR,2015,0
HR,2016,0
HR,2017,0
HR,2018,0
HR,2019,0
HU,1990,0
HU,1991,0
HU,1992,0
HU,1993,0
HU,1994,0
HU,1995,0
HU,1996,0
HU,1997,0
HU,1998,0
HU,1999,0
HU,2000,0
HU,2001,0
HU,2002,0
HU,2003,0
HU,2004,0
HU,2005,0
HU,2006,0
HU,2007,0
HU,2008,0
HU,2009,0
HU,2010,0
HU,2011,0
HU,2012,0
HU,2013,0
HU,2014,0
HU,2015,0
HU,2016,0
HU,2017,0
HU,2018,0
HU,2019,0
IE,1990,0
IE,1991,0
IE,1992,0
IE,1993,0
IE,1994,0
IE,1995,0
IE,1996,0
IE,1997,0
IE,1998,0
IE,1999,0
IE,2000,0
IE,2001,0
IE,2002,0
IE,2003,0
IE,2004,0
IE,2005,0
IE,2006,0
IE,2007,0
IE,2008,0
IE,2009,0
IE,2010,0
IE,2011,0
IE,2012,0
IE,2013,0
IE,2014,0
IE,2015,0
IE,2016,0
IE,2017,0
IE,2018,0
IE,2019,0
IS,1990,3
IS,1991,3
IS,1992,3
IS,1993,3
IS,1994,3
IS,1995,0
IS,1996,0
IS,1997,0
IS,1998,0
IS,1999,0
IS,2000,0
IS,2001,0
IS,2002,0
IS,2003,0
IS,2004,0
IS,2005,0
IS,2006,0
IS,2007,0
IS,2008,0
IS,2009,0
IS,2010,0
IS,2011,0
IS,2012,0
IS,2013,0
IS,2014,0
IS,2015,0
IS,2016,0
IS,2017,0
IS,2018,0
IS,2019,0
IT,1990,0
IT,1991,0
IT,1992,0
IT,1993,0
IT,1994,0
IT,1995,0
IT,1996,0
IT,1997,0
IT,1998,0
IT,1999,0
IT,2000,0
IT,2001,0
IT,2002,0
IT,2003,0
IT,2004,0
IT,2005,0
IT,2006,0
IT,2007,0
IT,2008,0
IT,2009,0
IT,2010,0
IT,2011,0
IT,2012,0
IT,2013,0
IT,2014,0
IT,2015,0
IT,2016,0
IT,2017,0
IT,2018,0
IT,2019,0
LT,1990,4
LT,1991,4
LT,1992,4
LT,1993,4
LT,1994,4
LT,1995,4
LT,1996,4
LT,1997,4
LT,1998,4
LT,1999,4
LT,2000,0
LT,2001,0
LT,2002,0
LT,2003,0
LT,2004,0
LT,2005,0
LT,2006,0
LT,2007,0
LT,2008,0
LT,2009,0
LT,2010,0
LT,2011,0
LT,2012,0
LT,2013,0
LT,2014,0
LT,2015,0
LT,2016,0
LT,2017,0
LT,2018,0
LT,2019,0
LU,1990,0
LU,1991,0
LU,1992,0
LU,1993,0
LU,1994,0
LU,1995,0
LU,1996,0
LU,1997,0
LU,1998,0
LU,1999,0
LU,2000,0
LU,2001,0
LU,2002,0
LU,2003,0
LU,2004,0
LU,2005,0
LU,2006,0
LU,2007,0
LU,2008,0
LU,2009,0
LU,2010,0
LU,2011,0
LU,2012,0
LU,2013,0
LU,2014,0
LU,2015,0
LU,2016,0
LU,2017,0
LU,2018,0
LU,2019,0
LV,1990,4
LV,1991,4
LV,1992,4
LV,1993,4
LV,1994,4
LV,1995,0
LV,1996,0
LV,1997,0
LV,1998,0
LV,1999,0
LV,2000,0
LV,2001,0
LV,2002,0
LV,2003,0
LV,2004,0
LV,2005,0
LV,2006,0
LV,2007,0
LV,2008,0
LV,2009,0
LV,2010,0
LV,2011,0
LV,2012,0
LV,2013,0
LV,2014,0
LV,2015,0
