VehicleType,Country,Year,Missing
BUS_TOT,ME,2009,1
BUS_TOT,RS,2009,1
CAR,ME,2009,1
CAR,RS,2009,1
TRN,ME,2009,1
TRN,RS,2009,1
TRN_BUS_TOT_AVD,ME,2009,1
TRN_BUS_TOT_AVD,RS,2009,1
BUS_TOT,ME,2008,1
BUS_TOT,RS,2008,1
CAR,ME,2008,1
CAR,RS,2008,1
TRN,ME,2008,1
TRN,RS,2008,1
TRN_BUS_TOT_AVD,ME,2008,1
TRN_BUS_TOT_AVD,RS,2008,1
BUS_TOT,ME,2007,1
BUS_TOT,RS,2007,1
CAR,ME,2007,1
CAR,RS,2007,1
TRN,ME,2007,1
TRN,RS,2007,1
TRN_BUS_TOT_AVD,ME,2007,1
TRN_BUS_TOT_AVD,RS,2007,1
BUS_TOT,ME,2006,1
BUS_TOT,RS,2006,1
CAR,ME,2006,1
CAR,RS,2006,1
TRN,ME,2006,1
TRN,RS,2006,1
TRN_BUS_TOT_AVD,ME,2006,1
TRN_BUS_TOT_AVD,RS,2006,1
BUS_TOT,ME,2005,1
BUS_TOT,RS,2005,1
CAR,ME,2005,1
CAR,RS,2005,1
TRN,ME,2005,1
TRN,RS,2005,1
TRN_BUS_TOT_AVD,ME,2005,1
TRN_BUS_TOT_AVD,RS,2005,1
BUS_TOT,ME,2004,1
BUS_TOT,RS,2004,1
CAR,ME,2004,1
CAR,RS,2004,1
TRN,ME,2004,1
TRN,RS,2004,1
TRN_BUS_TOT_AVD,ME,2004,1
TRN_BUS_TOT_AVD,RS,2004,1
BUS_TOT,ME,2003,1
BUS_TOT,RS,2003,1
CAR,ME,2003,1
CAR,RS,2003,1
TRN,ME,2003,1
TRN,RS,2003,1
TRN_BUS_TOT_AVD,ME,2003,1
TRN_BUS_TOT_AVD,RS,2003,1
BUS_TOT,ME,2002,1
BUS_TOT,RS,2002,1
CAR,ME,2002,1
CAR,RS,2002,1
TRN,ME,2002,1
TRN,RS,2002,1
TRN_BUS_TOT_AVD,ME,2002,1
TRN_BUS_TOT_AVD,RS,2002,1
BUS_TOT,ME,2001,1
BUS_TOT,RS,2001,1
CAR,ME,2001,1
CAR,RS,2001,1
TRN,ME,2001,1
TRN,RS,2001,1
TRN_BUS_TOT_AVD,ME,2001,1
TRN_BUS_TOT_AVD,RS,2001,1
BUS_TOT,ME,2000,1
BUS_TOT,RS,2000,1
CAR,ME,2000,1
CAR,RS,2000,1
TRN,ME,2000,1
TRN,RS,2000,1
TRN_BUS_TOT_AVD,ME,2000,1
TRN_BUS_TOT_AVD,RS,2000,1
BUS_TOT,EU27_2020,1999,1
BUS_TOT,EU28,1999,1
BUS_TOT,LT,1999,1
BUS_TOT,ME,1999,1
BUS_TOT,NL,1999,1
BUS_TOT,RS,1999,1
CAR,EU27_2020,1999,1
CAR,EU28,1999,1
CAR,LT,1999,1
CAR,ME,1999,1
CAR,NL,1999,1
CAR,RS,1999,1
TRN,EU27_2020,1999,1
TRN,EU28,1999,1
TRN,LT,1999,1
TRN,ME,1999,1
TRN,NL,1999,1
TRN,RS,1999,1
TRN_BUS_TOT_AVD,EU27_2020,1999,1
TRN_BUS_TOT_AVD,EU28,1999,1
TRN_BUS_TOT_AVD,LT,1999,1
TRN_BUS_TOT_AVD,ME,1999,1
TRN_BUS_TOT_AVD,NL,1999,1
TRN_BUS_TOT_AVD,RS,1999,1
BUS_TOT,EU27_2020,1998,1
BUS_TOT,EU28,1998,1
BUS_TOT,LT,1998,1
BUS_TOT,ME,1998,1
BUS_TOT,NL,1998,1
BUS_TOT,RS,1998,1
CAR,EU27_2020,1998,1
CAR,EU28,1998,1
CAR,LT,1998,1
CAR,ME,1998,1
CAR,NL,1998,1
CAR,RS,1998,1
TRN,EU27_2020,1998,1
TRN,EU28,1998,1
TRN,LT,1998,1
TRN,ME,1998,1
TRN,NL,1998,1
TRN,RS,1998,1
TRN_BUS_TOT_AVD,EU27_2020,1998,1
TRN_BUS_TOT_AVD,EU28,1998,1
TRN_BUS_TOT_AVD,LT,1998,1
TRN_BUS_TOT_AVD,ME,1998,1
TRN_BUS_TOT_AVD,NL,1998,1
TRN_BUS_TOT_AVD,RS,1998,1
BUS_TOT,EE,1997,1
BUS_TOT,EU27_2020,1997,1
BUS_TOT,EU28,1997,1
BUS_TOT,LT,1997,1
BUS_TOT,ME,1997,1
BUS_TOT,MK,1997,1
BUS_TOT,NL,1997,1
BUS_TOT,RS,1997,1
CAR,EE,1997,1
CAR,EU27_2020,1997,1
CAR,EU28,1997,1
CAR,LT,1997,1
CAR,ME,1997,1
CAR,MK,1997,1
CAR,NL,1997,1
CAR,RS,1997,1
TRN,EE,1997,1
TRN,EU27_2020,1997,1
TRN,EU28,1997,1
TRN,LT,1997,1
TRN,ME,1997,1
TRN,MK,1997,1
TRN,NL,1997,1
TRN,RS,1997,1
TRN_BUS_TOT_AVD,EE,1997,1
TRN_BUS_TOT_AVD,EU27_2020,1997,1
TRN_BUS_TOT_AVD,EU28,1997,1
TRN_BUS_TOT_AVD,LT,1997,1
TRN_BUS_TOT_AVD,ME,1997,1
TRN_BUS_TOT_AVD,MK,1997,1
TRN_BUS_TOT_AVD,NL,1997,1
TRN_BUS_TOT_AVD,RS,1997,1
BUS_TOT,EE,1996,1
BUS_TOT,EU27_2020,1996,1
BUS_TOT,EU28,1996,1
BUS_TOT,LT,1996,1
BUS_TOT,ME,1996,1
BUS_TOT,MK,1996,1
BUS_TOT,NL,1996,1
BUS_TOT,RS,1996,1
CAR,EE,1996,1
CAR,EU27_2020,1996,1
CAR,EU28,1996,1
CAR,LT,1996,1
CAR,ME,1996,1
CAR,MK,1996,1
CAR,NL,1996,1
CAR,RS,1996,1
TRN,EE,1996,1
TRN,EU27_2020,1996,1
TRN,EU28,1996,1
TRN,LT,1996,1
TRN,ME,1996,1
TRN,MK,1996,1
TRN,NL,1996,1
TRN,RS,1996,1
TRN_BUS_TOT_AVD,EE,1996,1
TRN_BUS_TOT_AVD,EU27_2020,1996,1
TRN_BUS_TOT_AVD,EU28,1996,1
TRN_BUS_TOT_AVD,LT,1996,1
TRN_BUS_TOT_AVD,ME,1996,1
TRN_BUS_TOT_AVD,MK,1996,1
TRN_BUS_TOT_AVD,NL,1996,1
TRN_BUS_TOT_AVD,RS,1996,1
BUS_TOT,EE,1995,1
BUS_TOT,EU27_2020,1995,1
BUS_TOT,EU28,1995,1
BUS_TOT,LT,1995,1
BUS_TOT,ME,1995,1
BUS_TOT,MK,1995,1
BUS_TOT,NL,1995,1
BUS_TOT,RS,1995,1
CAR,EE,1995,1
CAR,EU27_2020,1995,1
CAR,EU28,1995,1
CAR,LT,1995,1
CAR,ME,1995,1
CAR,MK,1995,1
CAR,NL,1995,1
CAR,RS,1995,1
TRN,EE,1995,1
TRN,EU27_2020,1995,1
TRN,EU28,1995,1
TRN,LT,1995,1
TRN,ME,1995,1
TRN,MK,1995,1
TRN,NL,1995,1
TRN,RS,1995,1
TRN_BUS_TOT_AVD,EE,1995,1
TRN_BUS_TOT_AVD,EU27_2020,1995,1
TRN_BUS_TOT_AVD,EU28,1995,1
TRN_BUS_TOT_AVD,LT,1995,1
TRN_BUS_TOT_AVD,ME,1995,1
TRN_BUS_TOT_AVD,MK,1995,1
TRN_BUS_TOT_AVD,NL,1995,1
TRN_BUS_TOT_AVD,RS,1995,1
BUS_TOT,BG,1994,1
