VehicleType,Country,Year,Percentage
BUS_TOT,AT,2019,10.1
BUS_TOT,BE,2019,10.3
BUS_TOT,BG,2019,13
BUS_TOT,CH,2019,6.1
BUS_TOT,CY,2019,18.5
BUS_TOT,CZ,2019,16.3
BUS_TOT,DE,2019,5.8
BUS_TOT,DK,2019,9.2
BUS_TOT,EE,2019,17.6
BUS_TOT,EL,2019,16
BUS_TOT,ES,2019,8.2
BUS_TOT,EU27_2020,2019,9.2
BUS_TOT,EU28,2019,8.5
BUS_TOT,FI,2019,9.9
BUS_TOT,FR,2019,6.4
BUS_TOT,HR,2019,13.4
BUS_TOT,HU,2019,20.1
BUS_TOT,IE,2019,14.9
BUS_TOT,IS,2019,11.2
BUS_TOT,IT,2019,11.5
BUS_TOT,LT,2019,8.4
BUS_TOT,LU,2019,12.6
BUS_TOT,LV,2019,13.7
BUS_TOT,ME,2019,2.1
BUS_TOT,MK,2019,20.8
BUS_TOT,MT,2019,17.1
BUS_TOT,NL,2019,3.1
BUS_TOT,NO,2019,6.0
BUS_TOT,PL,2019,12
BUS_TOT,PT,2019,7.2
BUS_TOT,RO,2019,16.9
BUS_TOT,RS,2019,24.4
BUS_TOT,SE,2019,7.2
BUS_TOT,SI,2019,11.7
BUS_TOT,SK,2019,16
BUS_TOT,TR,2019,25.7
BUS_TOT,UK,2019,4.0
CAR,AT,2019,77.0
CAR,BE,2019,81.3
CAR,BG,2019,84.7
CAR,CH,2019,73.9
CAR,CY,2019,81.5
CAR,CZ,2019,73.8
CAR,DE,2019,84.8
CAR,DK,2019,82.7
CAR,EE,2019,80.1
CAR,EL,2019,83
CAR,ES,2019,84.6
CAR,EU27_2020,2019,82.8
CAR,EU28,2019,83.4
CAR,FI,2019,83.9
CAR,FR,2019,83.2
CAR,HR,2019,84.2
CAR,HU,2019,71.6
CAR,IE,2019,81.8
CAR,IS,2019,88.8
CAR,IT,2019,82.1
CAR,LT,2019,90.6
CAR,LU,2019,82.6
CAR,LV,2019,82.8
CAR,ME,2019,96.6
CAR,MK,2019,78.6
CAR,MT,2019,82.9
CAR,NL,2019,85.6
CAR,NO,2019,89.1
CAR,PL,2019,80.7
CAR,PT,2019,88.3
CAR,RO,2019,78.9
CAR,RS,2019,74.9
CAR,SE,2019,82.3
CAR,SI,2019,86.6
CAR,SK,2019,73.8
CAR,TR,2019,71
CAR,UK,2019,87.4
TRN,AT,2019,12.9
TRN,BE,2019,8.4
TRN,BG,2019,2.2
TRN,CH,2019,20
TRN,CZ,2019,9.9
TRN,DE,2019,9.4
TRN,DK,2019,8.2
TRN,EE,2019,2.2
TRN,EL,2019,1
TRN,ES,2019,7.1
TRN,EU27_2020,2019,8
TRN,EU28,2019,8.1
TRN,FI,2019,6.2
TRN,FR,2019,10.4
TRN,HR,2019,2.4
TRN,HU,2019,8.3
TRN,IE,2019,3.3
TRN,IT,2019,6.3
TRN,LT,2019,1
TRN,LU,2019,4.8
TRN,LV,2019,3.4
TRN,ME,2019,1.2
TRN,MK,2019,0.6
