Unit,Location,2019,2019_status,2018,2018_status,2017,2017_status,2016,2016_status,2015,2015_status,2014,2014_status,2013,2013_status,2012,2012_status,2011,2011_status,2010,2010_status,2009,2009_status,2008,2008_status,2007,2007_status,2006,2006_status,2005,2005_status,2004,2004_status,2003,2003_status,2002,2002_status,2001,2001_status,2000,2000_status,1999,1999_status,1998,1998_status,1997,1997_status,1996,1996_status,1995,1995_status,1994,1994_status,1993,1993_status,1992,1992_status,1991,1991_status,1990,1990_status
I10,AT,97.1,ok,97.8,ok,102.3,ok,103.1,ok,102.3,ok,101.3,ok,99.7,b,98.4,ok,99.0,ok,100.0,ok,100.6,ok,98.7,e,97.8,ok,99.6,ok,102.2,ok,102.9,ok,104.8,ok,104.4,ok,105.0,ok,105.7,ok,107.8,ok,109.5,ok,111.6,ok,114.3,ok,115.2,ok,,ok,,ok,,ok,,ok,,ok
I10,BE,84.7,e,85.8,e,86.7,e,87.5,e,90.0,e,93.8,e,93.4,be,98.8,e,99.1,ok,100.0,ok,101.9,ok,99.6,ok,97.9,ok,99.2,ok,101.0,ok,103.8,ok,105.7,ok,107.5,ok,107.0,ok,106.7,ok,110,e,111.7,ok,111.5,ok,113.8,ok,115.6,ok,,ok,,ok,,ok,,ok,,ok
I10,BG,93.3,e,94.1,e,98.9,e,101.8,e,106.9,e,106.5,e,102.4,e,100.5,e,99.3,e,100.0,b,99.9,e,95.3,e,96.2,e,97,e,99,e,100.7,e,105.4,e,114.9,e,115.4,e,116.8,be,103.5,e,98.6,e,103.6,e,89.8,e,100.2,e,,ok,,ok,,ok,,ok,,ok
I10,CH,84.1,ok,83.7,ok,85.9,ok,86.3,ok,86.5,ok,87.1,d,88.3,d,89.2,d,89.7,ok,100.0,ok,101.4,ok,96.8,ok,98.1,ok,100.3,ok,103.0,ok,104.2,ok,105.9,ok,104.6,ok,102.7,ok,102.9,ok,109.1,ok,109.2,ok,109.3,ok,111.2,ok,110.3,ok,111.7,ok,112.1,ok,114.3,ok,116.9,ok,112.1,ok
I10,CY,107.6,e,107.7,e,109.4,e,113.1,e,115.4,e,115.6,e,111.4,e,104.8,e,100.4,e,100.0,e,103.2,e,98.3,e,95,e,95,e,96,e,97,e,94.7,e,94.9,e,95.8,e,96.9,e,99.8,e,102.2,e,105.9,e,106.2,e,104.2,e,,ok,,ok,,ok,,ok,,ok
I10,CZ,102.0,ok,100.9,ok,99.9,ok,101.2,ok,99.3,ok,101.2,b,100.0,ok,98.7,ok,99.3,ok,100.0,e,111.5,ok,106.8,ok,108.9,ok,112.5,ok,118.0,ok,123.7,ok,131.0,ok,132.8,ok,134.7,ok,137.4,b,138.6,ok,136.1,e,136.0,ok,135.8,ok,139,b,,ok,,ok,,ok,,ok,,ok
I10,DE,88.8,ok,90.7,ok,91.7,ok,96.4,ok,96.6,ok,96.8,ok,97.4,ok,97.5,ok,97.5,ok,100.0,ok,103.5,ok,96.9,ok,97.2,ok,99.8,ok,102.7,ok,104.8,ok,104.4,ok,104.2,ok,103.5,ok,103.0,ok,107.6,ok,107.3,ok,108.1,ok,109.9,ok,110.6,ok,110.7,b,104.0,ok,101.0,ok,100.6,ok,,ok
I10,DK,98.0,ok,98.2,ok,99.9,ok,101.1,ok,101.3,ok,99.5,ok,99.2,ok,100.0,ok,100.8,ok,100.0,ok,101.8,ok,96.3,ok,94.7,ok,94.1,ok,98.0,ok,101.7,ok,102.8,ok,102.7,ok,103.5,ok,105.8,ok,110.5,ok,112.4,ok,113.9,ok,115.5,ok,116.9,ok,118.5,ok,124.0,ok,121.8,ok,123.3,ok,124.0,ok
I10,EE,100.9,e,99.7,e,102.2,e,106.3,e,107.9,e,101.3,e,99.7,e,96.6,e,95.2,e,100.0,e,106.5,e,93.7,e,87,e,92.2,ok,104.0,ok,93.1,ok,96.6,e,98.2,e,103.5,e,108.1,e,106.1,e,104.8,e,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok
I10,EL,122.4,e,122.9,e,123.2,e,123.3,e,121.4,e,119.2,e,118.9,e,116.6,e,109.8,e,100.0,be,95.8,e,91.7,e,87.8,e,86.6,e,87.5,e,83.7,e,84.8,e,86.3,e,85.7,e,84.4,e,82.2,e,79.1,e,78.7,e,78.4,e,76.7,e,,ok,,ok,,ok,,ok,,ok
