Unit,Location,Year,GDP
I10,CH,2019,84.1
I10,DK,2019,98.0
I10,FI,2019,95.6
I10,FR,2019,88.4
I10,UK,2019,96.2
I10,CH,2018,83.7
I10,DK,2018,98.2
I10,FI,2018,96.4
I10,FR,2018,86.4
I10,UK,2018,95.7
I10,CH,2017,85.9
I10,DK,2017,99.9
I10,FI,2017,97.4
I10,FR,2017,87.0
I10,UK,2017,95.5
I10,CH,2016,86.3
I10,DK,2016,101.1
I10,FI,2016,87.9
I10,FR,2016,88.2
I10,UK,2016,91.9
I10,CH,2015,86.5
I10,DK,2015,101.3
I10,FI,2015,101.8
I10,FR,2015,87.4
I10,UK,2015,92.4
I10,CH,2014,87.1
I10,DK,2014,99.5
I10,FI,2014,101.1
I10,FR,2014,87.7
I10,UK,2014,94.3
I10,CH,2013,88.3
I10,DK,2013,99.2
I10,FI,2013,100.4
I10,FR,2013,87.8
I10,UK,2013,95.1
I10,CH,2012,89.2
I10,DK,2012,100.0
I10,FI,2012,99.7
I10,FR,2012,98.5
I10,UK,2012,98
I10,CH,2011,89.7
I10,DK,2011,100.8
I10,FI,2011,98.4
I10,FR,2011,98.3
I10,UK,2011,98.7
I10,CH,2010,100.0
I10,DK,2010,100.0
I10,FI,2010,100.0
I10,FR,2010,100.0
I10,UK,2010,100
I10,CH,2009,101.4
I10,DK,2009,101.8
I10,FI,2009,102.5
I10,FR,2009,101.1
I10,UK,2009,103.8
I10,CH,2008,96.8
I10,DK,2008,96.3
I10,FI,2008,93.3
I10,FR,2008,89.3
I10,UK,2008,100.1
I10,CH,2007,98.1
I10,DK,2007,94.7
I10,FI,2007,94.2
I10,FR,2007,89.7
I10,UK,2007,100.1
I10,CH,2006,100.3
I10,DK,2006,94.1
I10,FI,2006,97.1
I10,FR,2006,90.9
I10,UK,2006,101.9
I10,CH,2005,103.0
I10,DK,2005,98.0
I10,FI,2005,100.2
I10,FR,2005,93.1
I10,UK,2005,103.8
I10,CH,2004,104.2
I10,DK,2004,101.7
I10,FI,2004,101.5
I10,FR,2004,95.5
I10,UK,2004,107.3
I10,CH,2003,105.9
I10,DK,2003,102.8
I10,FI,2003,103.6
I10,FR,2003,97.9
I10,UK,2003,109.4
I10,CH,2002,104.6
I10,DK,2002,102.7
I10,FI,2002,103.8
I10,FR,2002,98.3
I10,UK,2002,112.8
I10,CH,2001,102.7
I10,DK,2001,103.5
I10,FI,2001,103.5
I10,FR,2001,98.4
I10,UK,2001,112.9
I10,CH,2000,102.9
I10,DK,2000,105.8
I10,FI,2000,104.4
I10,FR,2000,97.0
I10,UK,2000,113.8
I10,CH,1999,109.1
I10,DK,1999,110.5
I10,FI,1999,109.0
I10,FR,1999,100.2
I10,UK,1999,118.3
I10,CH,1998,109.2
I10,DK,1998,112.4
I10,FI,1998,111.2
I10,FR,1998,100.7
I10,UK,1998,120.6
I10,CH,1997,109.3
I10,DK,1997,113.9
I10,FI,1997,115.1
I10,FR,1997,101.4
I10,UK,1997,124
I10,CH,1996,111.2
I10,DK,1996,115.5
I10,FI,1996,119.3
I10,FR,1996,102.2
I10,UK,1996,127.7
I10,CH,1995,110.3
I10,DK,1995,116.9
I10,FI,1995,122.7
I10,FR,1995,101.7
I10,UK,1995,129.7
I10,CH,1994,111.7
I10,DK,1994,118.5
I10,FI,1994,126.7
I10,FR,1994,106.0
I10,UK,1994,131.7
I10,CH,1993,112.1
I10,DK,1993,124.0
I10,FI,1993,131.9
I10,FR,1993,105.3
I10,UK,1993,135.8
I10,CH,1992,114.3
I10,DK,1992,121.8
I10,FI,1992,132.9
I10,FR,1992,103.3
I10,UK,1992,134.3
I10,CH,1991,116.9
I10,DK,1991,123.3
I10,FI,1991,129.3
I10,FR,1991,102.5
I10,UK,1991,135
I10,CH,1990,112.1
I10,DK,1990,124.0
I10,FI,1990,123.8
I10,FR,1990,101.6
I10,UK,1990,135.2
