Unit,Location,Year,Missing
NR,AL,2009,1
NR,AL,2009,1
NR,AL,2009,1
NR,AL,2009,1
NR,DE,2009,1
NR,DE,2009,1
NR,FR,2009,1
NR,FR,2009,1
NR,FR,2009,1
NR,IE,2009,1
NR,IE,2009,1
NR,IE,2009,1
NR,MK,2009,1
NR,PL,2009,1
NR,PL,2009,1
NR,PL,2009,1
NR,PL,2009,1
NR,PL,2009,1
NR,PL,2009,1
NR,PL,2009,1
NR,RS,2009,1
NR,RS,2009,1
NR,RS,2009,1
NR,RS,2009,1
NR,UK,2009,1
NR,UK,2009,1
NR,UK,2009,1
NR,AL,2010,1
NR,AL,2010,1
NR,AL,2010,1
NR,AL,2010,1
NR,DE,2010,1
NR,DE,2010,1
NR,FR,2010,1
NR,FR,2010,1
NR,FR,2010,1
NR,IE,2010,1
NR,IE,2010,1
NR,IE,2010,1
NR,MK,2010,1
NR,PL,2010,1
NR,PL,2010,1
NR,PL,2010,1
NR,PL,2010,1
NR,PL,2010,1
NR,PL,2010,1
NR,PL,2010,1
NR,RS,2010,1
NR,RS,2010,1
NR,RS,2010,1
NR,RS,2010,1
NR,UK,2010,1
NR,UK,2010,1
NR,UK,2010,1
NR,AL,2011,1
NR,AL,2011,1
NR,AL,2011,1
NR,AL,2011,1
NR,FR,2011,1
NR,FR,2011,1
NR,FR,2011,1
NR,IE,2011,1
NR,IE,2011,1
NR,IE,2011,1
NR,MK,2011,1
NR,PL,2011,1
NR,PL,2011,1
NR,PL,2011,1
NR,PL,2011,1
NR,PL,2011,1
NR,PL,2011,1
NR,PL,2011,1
NR,RS,2011,1
NR,RS,2011,1
NR,RS,2011,1
NR,RS,2011,1
NR,UK,2011,1
NR,UK,2011,1
NR,UK,2011,1
NR,AL,2012,1
NR,AL,2012,1
NR,AL,2012,1
NR,AL,2012,1
NR,FR,2012,1
NR,FR,2012,1
NR,FR,2012,1
NR,MK,2012,1
NR,PL,2012,1
NR,PL,2012,1
NR,PL,2012,1
NR,PL,2012,1
NR,PL,2012,1
NR,PL,2012,1
NR,PL,2012,1
NR,RS,2012,1
NR,RS,2012,1
NR,RS,2012,1
NR,RS,2012,1
NR,AL,2013,1
NR,AL,2013,1
NR,AL,2013,1
NR,AL,2013,1
NR,FR,2013,1
NR,FR,2013,1
NR,MK,2013,1
NR,PL,2013,1
NR,PL,2013,1
NR,PL,2013,1
NR,PL,2013,1
NR,PL,2013,1
NR,PL,2013,1
NR,PL,2013,1
NR,RS,2013,1
NR,RS,2013,1
NR,RS,2013,1
NR,RS,2013,1
NR,AL,2014,1
NR,AL,2014,1
NR,AL,2014,1
NR,AL,2014,1
NR,RS,2014,1
NR,RS,2014,1
NR,RS,2014,1
NR,RS,2014,1
NR,AL,2015,1
NR,AL,2015,1
NR,AL,2015,1
NR,AL,2015,1
NR,RS,2015,1
NR,RS,2015,1
NR,RS,2015,1
NR,RS,2015,1
NR,AL,2016,1
NR,RS,2016,1
NR,RS,2016,1
NR,RS,2016,1
NR,RS,2016,1
NR,AL,2017,1
NR,UK,2019,1
NR,AL,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
NR,UK,2020,1
