Unit,Age,Sex,Location,2009,2009_status,2010,2010_status,2011,2011_status,2012,2012_status,2013,2013_status,2014,2014_status,2015,2015_status,2016,2016_status,2017,2017_status,2018,2018_status,2019,2019_status,2020,2020_status
NR,TOTAL,T,AL,,ok,,ok,,ok,,ok,,ok,,ok,,ok,848059,ok,826904,ok,819793,ok,813758,ok,804689,ok
NR,TOTAL,T,AL,,ok,,ok,,ok,,ok,,ok,,ok,,ok,1110562,ok,1146183,ok,1162544,ok,1170142,ok,1176240,ok
NR,TOTAL,T,AL,,ok,,ok,,ok,,ok,,ok,,ok,,ok,927405,ok,903504,ok,887987,ok,878527,ok,865026,ok
NR,TOTAL,T,AL,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,0,ok,0,ok,,ok
NR,TOTAL,T,AT,282777,ok,283697,ok,284581,ok,285782,ok,286691,ok,287416,ok,288356,ok,291011,ok,291942,ok,292675,ok,293433,ok,294436,ok
NR,TOTAL,T,AT,1602958,ok,1605897,ok,1609474,ok,1614455,ok,1618592,ok,1625485,ok,1636778,ok,1653691,ok,1665753,ok,1670668,ok,1677542,ok,1684287,ok
NR,TOTAL,T,AT,1680135,ok,1689995,ok,1702855,ok,1717084,ok,1741246,ok,1766746,ok,1797337,ok,1840226,ok,1867582,ok,1888776,ok,1897491,ok,1911191,ok
NR,TOTAL,T,AT,559462,ok,557998,ok,556718,ok,556027,ok,555473,ok,555881,ok,557641,ok,560482,ok,561077,ok,560898,ok,560939,ok,561293,ok
NR,TOTAL,T,AT,1204795,ok,1205045,ok,1206611,ok,1208696,ok,1210971,ok,1215246,ok,1221570,ok,1232012,ok,1237298,ok,1240214,ok,1243052,ok,1246395,ok
NR,TOTAL,T,AT,1408619,ok,1409253,ok,1410222,ok,1413866,ok,1418498,ok,1425422,ok,1437251,ok,1453948,ok,1465045,ok,1473576,ok,1482095,ok,1490279,ok
NR,TOTAL,T,AT,526699,ok,526730,ok,527886,ok,529704,ok,531898,ok,534270,ok,538575,ok,545815,ok,549263,ok,552579,ok,555221,ok,558410,ok
NR,TOTAL,T,AT,702502,ok,704662,ok,707517,ok,711581,ok,715888,ok,722038,ok,728826,ok,739139,ok,746153,ok,751140,ok,754705,ok,757634,ok
NR,TOTAL,T,AT,367056,ok,368366,ok,369300,ok,370926,ok,372603,ok,375282,ok,378592,ok,384147,ok,388752,ok,391741,ok,394297,ok,397139,ok
NR,TOTAL,T,BE,1068532,ok,1089538,ok,1136778,b,1151317,b,1165208,ok,1172751,b,1184101,ok,1201285,ok,1199095,ok,1205492,ok,1215290,ok,1223364,ok
NR,TOTAL,T,BE,1731174,ok,1744862,ok,1773267,b,1787490,b,1798605,ok,1806634,b,1817033,ok,1828927,ok,1838863,ok,1849523,ok,1860470,ok,1873095,ok
NR,TOTAL,T,BE,833160,ok,838505,ok,846851,b,851558,b,855213,ok,857844,b,861380,ok,866970,ok,869664,ok,872739,ok,875842,ok,880602,ok
NR,TOTAL,T,BE,1420415,ok,1432326,ok,1448928,b,1457428,b,1463614,ok,1471126,b,1479049,ok,1489084,ok,1498483,ok,1506232,ok,1516283,ok,1526486,ok
