,Location,Unit,Frequency_in_years
4,AL,NR,10
252,RS,NR,8
253,RS,NR,8
254,RS,NR,8
255,RS,NR,8
1,AL,NR,7
2,AL,NR,7
3,AL,NR,7
230,PL,NR,5
231,PL,NR,5
232,PL,NR,5
233,PL,NR,5
234,PL,NR,5
235,PL,NR,5
236,PL,NR,5
199,MK,NR,5
150,FR,NR,5
155,FR,NR,5
333,UK,NR,4
334,UK,NR,4
335,UK,NR,4
151,FR,NR,4
167,IE,NR,3
168,IE,NR,3
169,IE,NR,3
336,UK,NR,2
80,DE,NR,2
81,DE,NR,2
296,UK,NR,1
297,UK,NR,1
298,UK,NR,1
299,UK,NR,1
300,UK,NR,1
301,UK,NR,1
302,UK,NR,1
303,UK,NR,1
304,UK,NR,1
305,UK,NR,1
306,UK,NR,1
307,UK,NR,1
308,UK,NR,1
309,UK,NR,1
310,UK,NR,1
311,UK,NR,1
312,UK,NR,1
313,UK,NR,1
314,UK,NR,1
315,UK,NR,1
316,UK,NR,1
317,UK,NR,1
318,UK,NR,1
319,UK,NR,1
320,UK,NR,1
321,UK,NR,1
322,UK,NR,1
323,UK,NR,1
324,UK,NR,1
325,UK,NR,1
326,UK,NR,1
327,UK,NR,1
328,UK,NR,1
329,UK,NR,1
330,UK,NR,1
331,UK,NR,1
332,UK,NR,1
