Unit,Location,Year,Count
NR,AL,2009,
NR,AL,2009,
NR,AL,2009,
NR,AL,2009,
NR,AT,2009,282777
NR,AT,2009,1602958
NR,AT,2009,1680135
NR,AT,2009,559462
NR,AT,2009,1204795
NR,AT,2009,1408619
NR,AT,2009,526699
NR,AT,2009,702502
NR,AT,2009,367056
NR,BE,2009,1068532
NR,BE,2009,1731174
NR,BE,2009,833160
NR,BE,2009,1420415
NR,BE,2009,1068838
NR,BE,2009,1155290
NR,BE,2009,375645
NR,BE,2009,1304436
NR,BE,2009,1060035
NR,BE,2009,266950
NR,BE,2009,468605
NR,BG,2009,881573
NR,BG,2009,884857
NR,BG,2009,976062
NR,BG,2009,1094253
NR,BG,2009,2129855
NR,BG,2009,1500519
NR,CH,2009,1437592
NR,CH,2009,1730412
NR,CH,2009,1049518
NR,CH,2009,1332727
NR,CH,2009,1085698
NR,CH,2009,733173
NR,CH,2009,332736
NR,CY,2009,796930
NR,CZ,2009,1214300
NR,CZ,2009,1230405
NR,CZ,2009,1202477
NR,CZ,2009,1134887
NR,CZ,2009,1503865
NR,CZ,2009,1666778
NR,CZ,2009,1230437
NR,CZ,2009,1242634
NR,DE,2009,4006313
NR,DE,2009,2740164
NR,DE,2009,2195681
NR,DE,2009,1807348
NR,DE,2009,4335137
NR,DE,2009,1191910
NR,DE,2009,1083780
NR,DE,2009,1082516
NR,DE,2009,1712405
NR,DE,2009,1327497
NR,DE,2009,1786483
NR,DE,2009,3431675
NR,DE,2009,2522493
NR,DE,2009,661866
NR,DE,2009,1772100
NR,DE,2009,3784767
NR,DE,2009,1048683
NR,DE,2009,1231503
NR,DE,2009,1664356
NR,DE,2009,1623649
NR,DE,2009,2149181
NR,DE,2009,1696643
NR,DE,2009,2477771
NR,DE,2009,5191042
NR,DE,2009,4386271
NR,DE,2009,2605365
NR,DE,2009,2050638
NR,DE,2009,3699748
NR,DE,2009,1499457
NR,DE,2009,515322
NR,DE,2009,2013572
NR,DE,2009,1030324
NR,DE,2009,1638111
NR,DE,2009,
NR,DE,2009,
NR,DE,2009,2381872
NR,DE,2009,2834260
NR,DE,2009,2267763
NR,DK,2009,1662285
NR,DK,2009,821252
NR,DK,2009,1199667
NR,DK,2009,1247732
NR,DK,2009,580515
NR,EE,2009,1335740
NR,EL,2009,3999457
NR,EL,2009,199517
NR,EL,2009,331815
NR,EL,2009,618317
NR,EL,2009,608639
NR,EL,2009,1913980
NR,EL,2009,286672
NR,EL,2009,345167
NR,EL,2009,745569
NR,EL,2009,208161
NR,EL,2009,692990
NR,EL,2009,557291
NR,EL,2009,587170
NR,ES,2009,2767469
NR,ES,2009,1076276
NR,ES,2009,584657
NR,ES,2009,2174077
NR,ES,2009,627286
NR,ES,2009,319788
NR,ES,2009,1342788
NR,ES,2009,6327559
NR,ES,2009,2549172
NR,ES,2009,2066428
NR,ES,2009,1094693
NR,ES,2009,7427092
NR,ES,2009,4981284
NR,ES,2009,1070167
NR,ES,2009,8212968
NR,ES,2009,1441787
NR,ES,2009,76927
NR,ES,2009,73365
NR,ES,2009,2025490
NR,FI,2009,1349600
NR,FI,2009,1501511
NR,FI,2009,1151466
NR,FI,2009,1296281
NR,FI,2009,27456
NR,FR,2009,11728240
NR,FR,2009,2538590
NR,FR,2009,1642440
NR,FR,2009,1168208
NR,FR,2009,1470880
NR,FR,2009,1832942
NR,FR,2009,4033197
NR,FR,2009,1911157
NR,FR,2009,1843053
NR,FR,2009,1337953
NR,FR,2009,2350112
NR,FR,2009,3539048
NR,FR,2009,3175064
NR,FR,2009,3206137
NR,FR,2009,741785
NR,FR,2009,1760575
NR,FR,2009,2610890
NR,FR,2009,2862707
NR,FR,2009,1343964
NR,FR,2009,6174040
NR,FR,2009,4889053
NR,FR,2009,305674
NR,FR,2009,
NR,FR,2009,
NR,FR,2009,396404
NR,FR,2009,224469
NR,FR,2009,816364
NR,FR,2009,
NR,HR,2009,1415015
NR,HR,2009,2894781
NR,HU,2009,1712210
NR,HU,2009,1213290
NR,HU,2009,1103132
NR,HU,2009,998187
NR,HU,2009,952982
NR,HU,2009,1223238
NR,HU,2009,1502409
NR,HU,2009,1325527
NR,HU,2009,0
NR,IE,2009,
NR,IE,2009,
NR,IE,2009,
NR,IS,2009,319368
NR,IT,2009,4356322
NR,IT,2009,126369
NR,IT,2009,1577301
NR,IT,2009,9545515
NR,IT,2009,1306029
NR,IT,2009,316955
NR,IT,2009,5750382
NR,IT,2009,4043827
NR,IT,2009,583556
NR,IT,2009,1970780
NR,IT,2009,4990588
NR,IT,2009,1642583
NR,IT,2009,494559
NR,IT,2009,514881
NR,IT,2009,4827619
NR,IT,2009,1221392
NR,IT,2009,4277139
NR,IT,2009,3641389
NR,IT,2009,875261
NR,IT,2009,1536302
NR,IT,2009,5401837
NR,LI,2009,35589
NR,LT,2009,826445
NR,LT,2009,2357411
NR,LU,2009,493500
NR,LV,2009,2162834
NR,ME,2009,617157
NR,MK,2009,2048619
NR,MK,2009,
NR,MT,2009,410926
NR,NL,2009,574092
NR,NL,2009,644811
NR,NL,2009,489918
NR,NL,2009,1125435
NR,NL,2009,1991062
NR,NL,2009,383449
NR,NL,2009,1210869
NR,NL,2009,2646445
NR,NL,2009,3481558
NR,NL,2009,380984
NR,NL,2009,2434560
NR,NL,2009,1122604
NR,NO,2009,1103100
NR,NO,2009,374359
NR,NO,2009,919900
NR,NO,2009,696166
NR,NO,2009,824865
NR,NO,2009,417437
NR,NO,2009,463425
NR,PL,2009,3287136
NR,PL,2009,4645665
NR,PL,2009,3397617
NR,PL,2009,1692957
NR,PL,2009,1008962
NR,PL,2009,2877059
NR,PL,2009,1033040
NR,PL,2009,2067918
NR,PL,2009,1427073
NR,PL,2009,2219512
NR,PL,2009,
NR,PL,2009,
