Unit,Train_Infra,N_Tracks,Location,Year,Missing
KM,TOTAL,TOTAL,AT,2008,1
KM,TOTAL,TOTAL,CH,2008,1
KM,TOTAL,TOTAL,RS,2008,1
KM,TOTAL,TOTAL,XK,2008,1
KM,TOTAL,TOTAL,AT,2009,1
KM,TOTAL,TOTAL,CH,2009,1
KM,TOTAL,TOTAL,DK,2009,1
KM,TOTAL,TOTAL,RS,2009,1
KM,TOTAL,TOTAL,XK,2009,1
KM,TOTAL,TOTAL,BE,2010,1
KM,TOTAL,TOTAL,DK,2010,1
KM,TOTAL,TOTAL,RS,2010,1
KM,TOTAL,TOTAL,XK,2010,1
KM,TOTAL,TOTAL,BE,2011,1
KM,TOTAL,TOTAL,CH,2011,1
KM,TOTAL,TOTAL,DK,2011,1
KM,TOTAL,TOTAL,RS,2011,1
KM,TOTAL,TOTAL,UK,2011,1
KM,TOTAL,TOTAL,XK,2011,1
KM,TOTAL,TOTAL,BE,2012,1
KM,TOTAL,TOTAL,CH,2012,1
KM,TOTAL,TOTAL,DK,2012,1
KM,TOTAL,TOTAL,RS,2012,1
KM,TOTAL,TOTAL,XK,2012,1
KM,TOTAL,TOTAL,BE,2013,1
KM,TOTAL,TOTAL,CH,2013,1
KM,TOTAL,TOTAL,XK,2013,1
KM,TOTAL,TOTAL,BE,2014,1
KM,TOTAL,TOTAL,CH,2014,1
KM,TOTAL,TOTAL,IT,2014,1
KM,TOTAL,TOTAL,XK,2014,1
KM,TOTAL,TOTAL,BE,2015,1
KM,TOTAL,TOTAL,IT,2015,1
KM,TOTAL,TOTAL,XK,2015,1
KM,TOTAL,TOTAL,BE,2016,1
KM,TOTAL,TOTAL,CH,2016,1
KM,TOTAL,TOTAL,XK,2016,1
KM,TOTAL,TOTAL,BE,2017,1
KM,TOTAL,TOTAL,CH,2017,1
KM,TOTAL,TOTAL,BE,2018,1
KM,TOTAL,TOTAL,CH,2018,1
KM,TOTAL,TOTAL,RS,2018,1
KM,TOTAL,TOTAL,BE,2019,1
KM,TOTAL,TOTAL,CH,2019,1
KM,TOTAL,TOTAL,NL,2019,1
KM,TOTAL,TOTAL,RS,2019,1
KM,TOTAL,TOTAL,UK,2019,1
