Unit,Train_Infra,N_Tracks,Location,2008,2008_status,2009,2009_status,2010,2010_status,2011,2011_status,2012,2012_status,2013,2013_status,2014,2014_status,2015,2015_status,2016,2016_status,2017,2017_status,2018,2018_status,2019,2019_status
KM,TOTAL,TOTAL,AT,,ok,,ok,5828,ok,5500,ok,5566,ok,5531,ok,5531,ok,5522,ok,5491,ok,5527,ok,5526,ok,5615,ok
KM,TOTAL,TOTAL,BE,3513,ok,3578,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok
KM,TOTAL,TOTAL,BG,4144,ok,4150,ok,4098,ok,4072,ok,4070,ok,4032,ok,4023,ok,4019,ok,4029,ok,4030,ok,4030,ok,4030,ok
KM,TOTAL,TOTAL,CH,,ok,,ok,5124,d,,ok,,ok,,ok,,ok,5215,d,,ok,,ok,,ok,,ok
KM,TOTAL,TOTAL,CZ,9586,ok,9578,ok,9568,ok,9572,ok,9570,ok,9560,ok,9559,ok,9566,ok,9564,ok,9567,ok,9572,ok,9562,ok
KM,TOTAL,TOTAL,DE,37798,ok,37934,ok,37877,ok,37846,ok,37941,ok,37860,ok,37775,ok,38466,d,38623,d,38594,d,38416,d,38394,ok
KM,TOTAL,TOTAL,DK,3181,ok,,ok,,ok,,ok,,ok,2095,ok,2095,ok,2031,ok,2045,ok,1987,ok,1987,ok,2042,ok
KM,TOTAL,TOTAL,EE,1196,ok,1196,ok,1196,ok,1196,ok,1196,ok,1166,ok,1166,ok,1164,ok,1161,ok,1161,ok,1161,ok,1167,ok
KM,TOTAL,TOTAL,EL,2552,ok,2552,ok,2552,ok,2554,ok,2554,ok,2586,ok,2238,ok,2240,ok,2240,ok,2240,ok,2293,ok,2280,ok
KM,TOTAL,TOTAL,ES,13353,d,13354,d,13853,d,13945,d,13976,d,15312,d,15182,d,15384,d,16167,ok,15949,ok,15449,ok,15526,ok
KM,TOTAL,TOTAL,FI,5919,ok,5919,ok,5919,ok,5944,ok,5944,ok,5944,ok,5944,ok,5923,ok,5926,ok,5926,ok,5926,ok,5923,ok
KM,TOTAL,TOTAL,FR,31041,ok,30939,ok,30335,ok,30404,ok,30581,ok,30318,ok,29335,ok,28987,ok,28364,ok,28120,ok,27594,ok,27483,ok
KM,TOTAL,TOTAL,HR,2722,ok,2722,ok,2722,ok,2722,ok,2722,ok,2722,ok,2604,ok,2604,ok,2604,ok,2604,ok,2604,ok,2617,ok
KM,TOTAL,TOTAL,HU,7813,ok,7390,ok,7352,ok,7486.5,ok,7486.2,ok,7356.7,ok,7193,ok,7197,ok,7811,ok,7918,ok,7732,ok,7743,ok
KM,TOTAL,TOTAL,IE,1889,ok,1914.5,ok,1927,ok,1931.19,ok,1931,ok,1931,ok,1931,ok,1931,ok,1931,ok,1931,ok,2045,ok,2045,ok
KM,TOTAL,TOTAL,IT,16529,ok,16686,ok,16704,ok,16726,ok,16742,ok,16752,ok,,ok,,ok,16788,ok,16787,ok,16781,ok,16779,ok
KM,TOTAL,TOTAL,LT,1765.4,ok,1767.6,ok,1767.6,ok,1767.6,ok,1768,ok,1768,ok,1768,ok,1877,ok,1911,ok,1911,ok,1911,ok,1911,ok
KM,TOTAL,TOTAL,LU,275,ok,275,ok,275,ok,275,ok,275,ok,275,ok,275,ok,275,ok,275,ok,271,ok,271,ok,271,ok
KM,TOTAL,TOTAL,LV,2263,ok,1884,ok,1897,ok,1865,ok,1859,ok,1859,ok,1860,ok,1860,ok,1859.6,ok,1859.6,ok,1859.6,ok,1859.6,ok
KM,TOTAL,TOTAL,MK,699,ok,699,ok,699,ok,699,ok,699,ok,699,ok,699,ok,699,ok,683,ok,683,ok,683,ok,683,ok
KM,TOTAL,TOTAL,NL,2888,ok,2896,d,3013,d,3013,d,3013,d,3013,ok,3032,d,3031,ok,3058,ok,3055,ok,3220,ok,,ok
KM,TOTAL,TOTAL,NO,4114,ok,3910,ok,3958,ok,3910,ok,3891,ok,3897,ok,3906,ok,3896,ok,3895,ok,3895,ok,3887,ok,3890,ok
KM,TOTAL,TOTAL,PL,20196,ok,20360,ok,20228,ok,20228,ok,20094,ok,19328,ok,19240,ok,19231,ok,19132,ok,19209,ok,19235,ok,19398,ok
KM,TOTAL,TOTAL,PT,2841.6,ok,2841.6,ok,2843,ok,2793.9,ok,2541.2,ok,2544.4,ok,2546,ok,2546,ok,2546,ok,2545.96,ok,2545.96,ok,2526.15,ok
KM,TOTAL,TOTAL,RO,10785,ok,10784,ok,10785,ok,10777,ok,10777,ok,10768,ok,10777,ok,10770,ok,10774,ok,10774,ok,10765,ok,10759,ok
KM,TOTAL,TOTAL,RS,,ok,,ok,,ok,,ok,,ok,3819,ok,3819,ok,3766,ok,3766,ok,3764,ok,,ok,,ok
KM,TOTAL,TOTAL,SE,11032,ok,11149,ok,11160,ok,11206,ok,11136,ok,10957,ok,10881,ok,10908,ok,10882,ok,10874,ok,10906,ok,10899,ok
KM,TOTAL,TOTAL,SI,1228.07,ok,1228.07,ok,1228.07,ok,1209.13,ok,1209,ok,1209,ok,1209,ok,1209,ok,1209,ok,1209,ok,1209,ok,1209,ok
KM,TOTAL,TOTAL,SK,3623,ok,3623,ok,3622,ok,3624,ok,3631,ok,3631,ok,3627,ok,3626,ok,3626,ok,3626,ok,3627,ok,3629,ok
KM,TOTAL,TOTAL,TR,8699,ok,9080,ok,9594,ok,9642,ok,9642,ok,9718,ok,10087,ok,10131,d,10131,d,10207,d,10315,d,10378,ok
KM,TOTAL,TOTAL,UK,15814,ok,15754,ok,15884,ok,,ok,16195,ok,16195,ok,16202,ok,16241,ok,16253,ok,16320,ok,16289,ok,,ok
KM,TOTAL,TOTAL,XK,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,343,d,343,ok,343,ok
