,Unit,Train_Infra,N_Tracks,Location,2008,2008_status,2009,2009_status,2010,2010_status,2011,2011_status,2012,2012_status,2013,2013_status,2014,2014_status,2015,2015_status,2016,2016_status,2017,2017_status,2018,2018_status,2019,2019_status
3,KM,TOTAL,TOTAL,BG,4144,ok,4150,ok,4098,ok,4072,ok,4070,ok,4032,ok,4023,ok,4019,ok,4029,ok,4030,ok,4030,ok,4030,ok
5,KM,TOTAL,TOTAL,CZ,9586,ok,9578,ok,9568,ok,9572,ok,9570,ok,9560,ok,9559,ok,9566,ok,9564,ok,9567,ok,9572,ok,9562,ok
6,KM,TOTAL,TOTAL,DE,37798,ok,37934,ok,37877,ok,37846,ok,37941,ok,37860,ok,37775,ok,38466,d,38623,d,38594,d,38416,d,38394,ok
8,KM,TOTAL,TOTAL,EE,1196,ok,1196,ok,1196,ok,1196,ok,1196,ok,1166,ok,1166,ok,1164,ok,1161,ok,1161,ok,1161,ok,1167,ok
9,KM,TOTAL,TOTAL,EL,2552,ok,2552,ok,2552,ok,2554,ok,2554,ok,2586,ok,2238,ok,2240,ok,2240,ok,2240,ok,2293,ok,2280,ok
10,KM,TOTAL,TOTAL,ES,13353,d,13354,d,13853,d,13945,d,13976,d,15312,d,15182,d,15384,d,16167,ok,15949,ok,15449,ok,15526,ok
11,KM,TOTAL,TOTAL,FI,5919,ok,5919,ok,5919,ok,5944,ok,5944,ok,5944,ok,5944,ok,5923,ok,5926,ok,5926,ok,5926,ok,5923,ok
12,KM,TOTAL,TOTAL,FR,31041,ok,30939,ok,30335,ok,30404,ok,30581,ok,30318,ok,29335,ok,28987,ok,28364,ok,28120,ok,27594,ok,27483,ok
13,KM,TOTAL,TOTAL,HR,2722,ok,2722,ok,2722,ok,2722,ok,2722,ok,2722,ok,2604,ok,2604,ok,2604,ok,2604,ok,2604,ok,2617,ok
14,KM,TOTAL,TOTAL,HU,7813,ok,7390,ok,7352,ok,7486.5,ok,7486.2,ok,7356.7,ok,7193,ok,7197,ok,7811,ok,7918,ok,7732,ok,7743,ok
15,KM,TOTAL,TOTAL,IE,1889,ok,1914.5,ok,1927,ok,1931.19,ok,1931,ok,1931,ok,1931,ok,1931,ok,1931,ok,1931,ok,2045,ok,2045,ok
17,KM,TOTAL,TOTAL,LT,1765.4,ok,1767.6,ok,1767.6,ok,1767.6,ok,1768,ok,1768,ok,1768,ok,1877,ok,1911,ok,1911,ok,1911,ok,1911,ok
18,KM,TOTAL,TOTAL,LU,275,ok,275,ok,275,ok,275,ok,275,ok,275,ok,275,ok,275,ok,275,ok,271,ok,271,ok,271,ok
19,KM,TOTAL,TOTAL,LV,2263,ok,1884,ok,1897,ok,1865,ok,1859,ok,1859,ok,1860,ok,1860,ok,1859.6,ok,1859.6,ok,1859.6,ok,1859.6,ok
20,KM,TOTAL,TOTAL,MK,699,ok,699,ok,699,ok,699,ok,699,ok,699,ok,699,ok,699,ok,683,ok,683,ok,683,ok,683,ok
22,KM,TOTAL,TOTAL,NO,4114,ok,3910,ok,3958,ok,3910,ok,3891,ok,3897,ok,3906,ok,3896,ok,3895,ok,3895,ok,3887,ok,3890,ok
23,KM,TOTAL,TOTAL,PL,20196,ok,20360,ok,20228,ok,20228,ok,20094,ok,19328,ok,19240,ok,19231,ok,19132,ok,19209,ok,19235,ok,19398,ok
24,KM,TOTAL,TOTAL,PT,2841.6,ok,2841.6,ok,2843,ok,2793.9,ok,2541.2,ok,2544.4,ok,2546,ok,2546,ok,2546,ok,2545.96,ok,2545.96,ok,2526.15,ok
25,KM,TOTAL,TOTAL,RO,10785,ok,10784,ok,10785,ok,10777,ok,10777,ok,10768,ok,10777,ok,10770,ok,10774,ok,10774,ok,10765,ok,10759,ok
27,KM,TOTAL,TOTAL,SE,11032,ok,11149,ok,11160,ok,11206,ok,11136,ok,10957,ok,10881,ok,10908,ok,10882,ok,10874,ok,10906,ok,10899,ok
28,KM,TOTAL,TOTAL,SI,1228.07,ok,1228.07,ok,1228.07,ok,1209.13,ok,1209,ok,1209,ok,1209,ok,1209,ok,1209,ok,1209,ok,1209,ok,1209,ok
29,KM,TOTAL,TOTAL,SK,3623,ok,3623,ok,3622,ok,3624,ok,3631,ok,3631,ok,3627,ok,3626,ok,3626,ok,3626,ok,3627,ok,3629,ok
30,KM,TOTAL,TOTAL,TR,8699,ok,9080,ok,9594,ok,9642,ok,9642,ok,9718,ok,10087,ok,10131,d,10131,d,10207,d,10315,d,10378,ok
