Location,Year,Missing
AT,2008,1
AT,2009,1
AT,2010,0
AT,2011,0
AT,2012,0
AT,2013,0
AT,2014,0
AT,2015,0
AT,2016,0
AT,2017,0
AT,2018,0
AT,2019,0
BE,2008,0
BE,2009,0
BE,2010,1
BE,2011,1
BE,2012,1
BE,2013,1
BE,2014,1
BE,2015,1
BE,2016,1
BE,2017,1
BE,2018,1
BE,2019,1
BG,2008,0
BG,2009,0
BG,2010,0
BG,2011,0
BG,2012,0
BG,2013,0
BG,2014,0
BG,2015,0
BG,2016,0
BG,2017,0
BG,2018,0
BG,2019,0
CH,2008,1
CH,2009,1
CH,2010,0
CH,2011,1
CH,2012,1
CH,2013,1
CH,2014,1
CH,2015,0
CH,2016,1
CH,2017,1
CH,2018,1
CH,2019,1
CZ,2008,0
CZ,2009,0
CZ,2010,0
CZ,2011,0
CZ,2012,0
CZ,2013,0
CZ,2014,0
CZ,2015,0
CZ,2016,0
CZ,2017,0
CZ,2018,0
CZ,2019,0
DE,2008,0
DE,2009,0
DE,2010,0
DE,2011,0
DE,2012,0
DE,2013,0
DE,2014,0
DE,2015,0
DE,2016,0
DE,2017,0
DE,2018,0
DE,2019,0
DK,2008,0
DK,2009,1
DK,2010,1
DK,2011,1
DK,2012,1
DK,2013,0
DK,2014,0
DK,2015,0
DK,2016,0
DK,2017,0
DK,2018,0
DK,2019,0
EE,2008,0
EE,2009,0
EE,2010,0
EE,2011,0
EE,2012,0
EE,2013,0
EE,2014,0
EE,2015,0
EE,2016,0
EE,2017,0
EE,2018,0
EE,2019,0
EL,2008,0
EL,2009,0
EL,2010,0
EL,2011,0
EL,2012,0
EL,2013,0
EL,2014,0
EL,2015,0
EL,2016,0
EL,2017,0
EL,2018,0
EL,2019,0
ES,2008,0
ES,2009,0
ES,2010,0
ES,2011,0
ES,2012,0
ES,2013,0
ES,2014,0
ES,2015,0
ES,2016,0
ES,2017,0
ES,2018,0
ES,2019,0
FI,2008,0
FI,2009,0
FI,2010,0
FI,2011,0
FI,2012,0
FI,2013,0
FI,2014,0
FI,2015,0
FI,2016,0
FI,2017,0
FI,2018,0
FI,2019,0
FR,2008,0
FR,2009,0
FR,2010,0
FR,2011,0
FR,2012,0
FR,2013,0
FR,2014,0
FR,2015,0
FR,2016,0
FR,2017,0
FR,2018,0
FR,2019,0
HR,2008,0
HR,2009,0
HR,2010,0
HR,2011,0
HR,2012,0
HR,2013,0
HR,2014,0
HR,2015,0
HR,2016,0
HR,2017,0
HR,2018,0
HR,2019,0
HU,2008,0
HU,2009,0
HU,2010,0
HU,2011,0
HU,2012,0
HU,2013,0
HU,2014,0
HU,2015,0
HU,2016,0
HU,2017,0
HU,2018,0
HU,2019,0
IE,2008,0
IE,2009,0
IE,2010,0
IE,2011,0
IE,2012,0
IE,2013,0
IE,2014,0
IE,2015,0
IE,2016,0
IE,2017,0
IE,2018,0
IE,2019,0
IT,2008,0
IT,2009,0
IT,2010,0
IT,2011,0
IT,2012,0
IT,2013,0
IT,2014,1
IT,2015,1
IT,2016,0
IT,2017,0
IT,2018,0
IT,2019,0
LT,2008,0
LT,2009,0
LT,2010,0
LT,2011,0
LT,2012,0
LT,2013,0
LT,2014,0
LT,2015,0
LT,2016,0
LT,2017,0
LT,2018,0
LT,2019,0
LU,2008,0
LU,2009,0
LU,2010,0
LU,2011,0
LU,2012,0
LU,2013,0
LU,2014,0
LU,2015,0
LU,2016,0
LU,2017,0
LU,2018,0
LU,2019,0
LV,2008,0
LV,2009,0
LV,2010,0
LV,2011,0
LV,2012,0
LV,2013,0
LV,2014,0
LV,2015,0
LV,2016,0
LV,2017,0
LV,2018,0
LV,2019,0
MK,2008,0
MK,2009,0
MK,2010,0
MK,2011,0
MK,2012,0
MK,2013,0
MK,2014,0
MK,2015,0
MK,2016,0
MK,2017,0
MK,2018,0
MK,2019,0
NL,2008,0
NL,2009,0
NL,2010,0
NL,2011,0
NL,2012,0
NL,2013,0
NL,2014,0
NL,2015,0
NL,2016,0
NL,2017,0
NL,2018,0
NL,2019,1
NO,2008,0
NO,2009,0
NO,2010,0
NO,2011,0
NO,2012,0
NO,2013,0
NO,2014,0
NO,2015,0
NO,2016,0
NO,2017,0
NO,2018,0
NO,2019,0
PL,2008,0
PL,2009,0
PL,2010,0
PL,2011,0
PL,2012,0
PL,2013,0
PL,2014,0
PL,2015,0
PL,2016,0
PL,2017,0
PL,2018,0
PL,2019,0
PT,2008,0
PT,2009,0
PT,2010,0
PT,2011,0
PT,2012,0
PT,2013,0
PT,2014,0
PT,2015,0
PT,2016,0
PT,2017,0
PT,2018,0
PT,2019,0
RO,2008,0
RO,2009,0
RO,2010,0
RO,2011,0
RO,2012,0
RO,2013,0
RO,2014,0
RO,2015,0
RO,2016,0
RO,2017,0
RO,2018,0
RO,2019,0
RS,2008,1
RS,2009,1
RS,2010,1
RS,2011,1
RS,2012,1
RS,2013,0
RS,2014,0
RS,2015,0
RS,2016,0
RS,2017,0
RS,2018,1
RS,2019,1
SE,2008,0
SE,2009,0
SE,2010,0
SE,2011,0
SE,2012,0
SE,2013,0
SE,2014,0
SE,2015,0
SE,2016,0
SE,2017,0
SE,2018,0
SE,2019,0
SI,2008,0
SI,2009,0
SI,2010,0
SI,2011,0
SI,2012,0
SI,2013,0
SI,2014,0
SI,2015,0
SI,2016,0
SI,2017,0
