Unit,Location,Year,Kilometers_in_millions)
KM,BG,2008,4144
KM,CZ,2008,9586
KM,DE,2008,37798
KM,EE,2008,1196
KM,EL,2008,2552
KM,ES,2008,13353
KM,FI,2008,5919
KM,FR,2008,31041
KM,HR,2008,2722
KM,HU,2008,7813
KM,IE,2008,1889
KM,LT,2008,1765.4
KM,LU,2008,275
KM,LV,2008,2263
KM,MK,2008,699
KM,NO,2008,4114
KM,PL,2008,20196
KM,PT,2008,2841.6
KM,RO,2008,10785
KM,SE,2008,11032
KM,SI,2008,1228.07
KM,SK,2008,3623
KM,TR,2008,8699
KM,BG,2009,4150
KM,CZ,2009,9578
KM,DE,2009,37934
KM,EE,2009,1196
KM,EL,2009,2552
KM,ES,2009,13354
KM,FI,2009,5919
KM,FR,2009,30939
KM,HR,2009,2722
KM,HU,2009,7390
KM,IE,2009,1914.5
KM,LT,2009,1767.6
KM,LU,2009,275
KM,LV,2009,1884
KM,MK,2009,699
KM,NO,2009,3910
KM,PL,2009,20360
KM,PT,2009,2841.6
KM,RO,2009,10784
KM,SE,2009,11149
KM,SI,2009,1228.07
KM,SK,2009,3623
KM,TR,2009,9080
KM,BG,2010,4098
KM,CZ,2010,9568
KM,DE,2010,37877
KM,EE,2010,1196
KM,EL,2010,2552
KM,ES,2010,13853
KM,FI,2010,5919
KM,FR,2010,30335
KM,HR,2010,2722
KM,HU,2010,7352
KM,IE,2010,1927
KM,LT,2010,1767.6
KM,LU,2010,275
KM,LV,2010,1897
KM,MK,2010,699
KM,NO,2010,3958
KM,PL,2010,20228
KM,PT,2010,2843
KM,RO,2010,10785
KM,SE,2010,11160
KM,SI,2010,1228.07
KM,SK,2010,3622
KM,TR,2010,9594
KM,BG,2011,4072
KM,CZ,2011,9572
KM,DE,2011,37846
KM,EE,2011,1196
KM,EL,2011,2554
KM,ES,2011,13945
KM,FI,2011,5944
KM,FR,2011,30404
KM,HR,2011,2722
KM,HU,2011,7486.5
KM,IE,2011,1931.19
KM,LT,2011,1767.6
KM,LU,2011,275
KM,LV,2011,1865
KM,MK,2011,699
KM,NO,2011,3910
KM,PL,2011,20228
KM,PT,2011,2793.9
KM,RO,2011,10777
KM,SE,2011,11206
KM,SI,2011,1209.13
KM,SK,2011,3624
KM,TR,2011,9642
KM,BG,2012,4070
KM,CZ,2012,9570
KM,DE,2012,37941
KM,EE,2012,1196
KM,EL,2012,2554
KM,ES,2012,13976
KM,FI,2012,5944
KM,FR,2012,30581
KM,HR,2012,2722
KM,HU,2012,7486.2
KM,IE,2012,1931
KM,LT,2012,1768
KM,LU,2012,275
KM,LV,2012,1859
KM,MK,2012,699
KM,NO,2012,3891
