Unit,TransportCoverage,Location,2020,2020_status,2019,2019_status,2018,2018_status,2017,2017_status,2016,2016_status,2015,2015_status,2014,2014_status,2013,2013_status,2012,2012_status,2011,2011_status,2010,2010_status,2009,2009_status
MIO_PKM,TOTAL,AT,9620,ok,9713,ok,10172,ok,10606,ok,11188,ok,11345,ok,11433,ok,12021,ok,12077,ok,12681,ok,12761,ok,6964,ok
MIO_PKM,TOTAL,BE,10237,ok,10498,ok,10498,ok,,ok,,c,,c,,c,,c,,c,,c,,c,,c
MIO_PKM,TOTAL,BG,2138,ok,2090,ok,2059,ok,1870,ok,1821,ok,1698,ok,1549,ok,1455,ok,1434,ok,1476,ok,1520,ok,1118,ok
MIO_PKM,TOTAL,CH,17223,ok,17800,ok,18320,ok,18115,ok,18277,ok,18801,ok,19089,ok,19573,ok,19586,ok,19245,ok,20315,ok,12425,ok
MIO_PKM,TOTAL,CZ,6472,ok,6559,ok,,ok,7196,ok,7512,ok,7644,ok,8125,ok,8738,ok,9403,ok,10220,ok,10856,ok,6623,ok
MIO_PKM,TOTAL,DE,81206,ok,82837,ok,89316,ok,93918,ok,89450,ok,90978,ok,91050,ok,95465,ok,95529,ok,98161,ok,100252,ok,57470,ok
MIO_PKM,TOTAL,DK,5967,ok,6148,ok,6395,ok,6534,ok,6566,ok,6513,ok,6507,ok,6332,ok,6280,ok,6182,ok,6174,ok,3940,ok
MIO_PKM,TOTAL,EE,249,ok,247,ok,243,ok,235,ok,223,ok,280,ok,286,ok,316,ok,366,ok,417,ok,392,ok,263,ok
MIO_PKM,TOTAL,EL,1467,ok,1383,ok,958,ok,832,ok,1056,ok,1072,ok,1263,ok,1192,ok,1112,ok,1104,ok,1252,ok,640,ok
MIO_PKM,TOTAL,ES,22742,ok,22044,ok,22645,ok,22170,ok,23660,ok,24915,ok,26018,ok,26532,ok,27374,ok,28317,ok,28703,ok,11987,ok
MIO_PKM,TOTAL,EU27_2007,,c,,c,,c,,ok,,c,,c,441366,ok,450298,ok,463983,ok,470954,ok,486844,ok,,ok
MIO_PKM,TOTAL,EU27_2020,,c,,c,,c,,ok,,c,,c,375713,ok,383115,ok,395807,ok,401996,ok,415744,ok,223210,ok
MIO_PKM,TOTAL,EU28,,c,,c,,c,,ok,,c,,c,442307,ok,451125,ok,464719,ok,471702,ok,487568,ok,,ok
