Location,Year,Missing
AT,2009,0
AT,2010,0
AT,2011,0
AT,2012,0
AT,2013,0
AT,2014,0
AT,2015,0
AT,2016,0
AT,2017,0
AT,2018,0
AT,2019,0
AT,2020,0
BE,2009,0
BE,2010,0
BE,2011,0
BE,2012,1
BE,2013,1
BE,2014,1
BE,2015,1
BE,2016,1
BE,2017,1
BE,2018,1
BE,2019,1
BE,2020,1
BG,2009,0
BG,2010,0
BG,2011,0
BG,2012,0
BG,2013,0
BG,2014,0
BG,2015,0
BG,2016,0
BG,2017,0
BG,2018,0
BG,2019,0
BG,2020,0
CH,2009,0
CH,2010,0
CH,2011,0
CH,2012,0
CH,2013,0
CH,2014,0
CH,2015,0
CH,2016,0
CH,2017,0
CH,2018,0
CH,2019,0
CH,2020,0
CZ,2009,0
CZ,2010,0
CZ,2011,1
CZ,2012,0
CZ,2013,0
CZ,2014,0
CZ,2015,0
CZ,2016,0
CZ,2017,0
CZ,2018,0
CZ,2019,0
CZ,2020,0
DE,2009,0
DE,2010,0
DE,2011,0
DE,2012,0
DE,2013,0
DE,2014,0
DE,2015,0
DE,2016,0
DE,2017,0
DE,2018,0
DE,2019,0
DE,2020,0
DK,2009,0
DK,2010,0
DK,2011,0
DK,2012,0
DK,2013,0
DK,2014,0
DK,2015,0
DK,2016,0
DK,2017,0
DK,2018,0
DK,2019,0
DK,2020,0
EE,2009,0
EE,2010,0
EE,2011,0
EE,2012,0
EE,2013,0
EE,2014,0
EE,2015,0
EE,2016,0
EE,2017,0
EE,2018,0
EE,2019,0
EE,2020,0
EL,2009,0
EL,2010,0
EL,2011,0
EL,2012,0
EL,2013,0
EL,2014,0
EL,2015,0
EL,2016,0
EL,2017,0
EL,2018,0
EL,2019,0
EL,2020,0
ES,2009,0
ES,2010,0
ES,2011,0
ES,2012,0
ES,2013,0
ES,2014,0
ES,2015,0
ES,2016,0
ES,2017,0
ES,2018,0
ES,2019,0
ES,2020,0
EU27_2007,2009,1
EU27_2007,2010,1
EU27_2007,2011,1
EU27_2007,2012,1
EU27_2007,2013,1
EU27_2007,2014,1
EU27_2007,2015,0
EU27_2007,2016,0
EU27_2007,2017,0
EU27_2007,2018,0
EU27_2007,2019,0
EU27_2007,2020,1
