Unit,Location,Year,Passenger_kilometers_in_millions
MIO_PKM,AT,2009,9620
MIO_PKM,BE,2009,10237
MIO_PKM,BG,2009,2138
MIO_PKM,CH,2009,17223
MIO_PKM,CZ,2009,6472
MIO_PKM,DE,2009,81206
MIO_PKM,DK,2009,5967
MIO_PKM,EE,2009,249
MIO_PKM,EL,2009,1467
MIO_PKM,ES,2009,22742
MIO_PKM,EU27_2007,2009,
MIO_PKM,EU27_2020,2009,
MIO_PKM,EU28,2009,
MIO_PKM,FI,2009,3876
MIO_PKM,FR,2009,88610
MIO_PKM,HR,2009,1802
MIO_PKM,HU,2009,8003
MIO_PKM,IE,2009,1683
MIO_PKM,IT,2009,44404
MIO_PKM,LT,2009,231
MIO_PKM,LU,2009,
MIO_PKM,LV,2009,748
MIO_PKM,MK,2009,155
MIO_PKM,NL,2009,
MIO_PKM,NO,2009,
MIO_PKM,PL,2009,18128
MIO_PKM,PT,2009,4213
MIO_PKM,RO,2009,5975
MIO_PKM,SE,2009,11321
MIO_PKM,SI,2009,773
MIO_PKM,SK,2009,2264
MIO_PKM,TR,2009,5374
MIO_PKM,UK,2009,52765
MIO_PKM,AT,2010,9713
MIO_PKM,BE,2010,10498
MIO_PKM,BG,2010,2090
MIO_PKM,CH,2010,17800
MIO_PKM,CZ,2010,6559
MIO_PKM,DE,2010,82837
MIO_PKM,DK,2010,6148
MIO_PKM,EE,2010,247
MIO_PKM,EL,2010,1383
MIO_PKM,ES,2010,22044
MIO_PKM,EU27_2007,2010,
MIO_PKM,EU27_2020,2010,
MIO_PKM,EU28,2010,
MIO_PKM,FI,2010,3959
MIO_PKM,FR,2010,
MIO_PKM,HR,2010,1711
MIO_PKM,HU,2010,7653
MIO_PKM,IE,2010,1678
MIO_PKM,IT,2010,43349
MIO_PKM,LT,2010,244
MIO_PKM,LU,2010,347
MIO_PKM,LV,2010,741
MIO_PKM,MK,2010,155
MIO_PKM,NL,2010,
MIO_PKM,NO,2010,3076
MIO_PKM,PL,2010,17485
MIO_PKM,PT,2010,4111
MIO_PKM,RO,2010,5248
MIO_PKM,SE,2010,11155
MIO_PKM,SI,2010,729
MIO_PKM,SK,2010,2309
MIO_PKM,TR,2010,5491
MIO_PKM,UK,2010,55831
MIO_PKM,AT,2011,10172
MIO_PKM,BE,2011,10498
MIO_PKM,BG,2011,2059
MIO_PKM,CH,2011,18320
MIO_PKM,CZ,2011,
MIO_PKM,DE,2011,89316
MIO_PKM,DK,2011,6395
MIO_PKM,EE,2011,243
MIO_PKM,EL,2011,958
MIO_PKM,ES,2011,22645
MIO_PKM,EU27_2007,2011,
MIO_PKM,EU27_2020,2011,
MIO_PKM,EU28,2011,
MIO_PKM,FI,2011,3882
MIO_PKM,FR,2011,91298
MIO_PKM,HR,2011,1457
MIO_PKM,HU,2011,7763
MIO_PKM,IE,2011,1638
MIO_PKM,IT,2011,45944
MIO_PKM,LT,2011,269
MIO_PKM,LU,2011,349
MIO_PKM,LV,2011,733
MIO_PKM,MK,2011,145
MIO_PKM,NL,2011,
MIO_PKM,NO,2011,3076
MIO_PKM,PL,2011,17633
MIO_PKM,PT,2011,4237
MIO_PKM,RO,2011,5044
MIO_PKM,SE,2011,11379
MIO_PKM,SI,2011,689
MIO_PKM,SK,2011,2431
MIO_PKM,TR,2011,5882
MIO_PKM,UK,2011,58462
MIO_PKM,AT,2012,10606
MIO_PKM,BE,2012,
MIO_PKM,BG,2012,1870
MIO_PKM,CH,2012,18115
MIO_PKM,CZ,2012,7196
MIO_PKM,DE,2012,93918
MIO_PKM,DK,2012,6534
MIO_PKM,EE,2012,235
MIO_PKM,EL,2012,832
MIO_PKM,ES,2012,22170
MIO_PKM,EU27_2007,2012,
MIO_PKM,EU27_2020,2012,
MIO_PKM,EU28,2012,
MIO_PKM,FI,2012,4035
MIO_PKM,FR,2012,91205
MIO_PKM,HR,2012,1080
MIO_PKM,HU,2012,7769
MIO_PKM,IE,2012,1578
MIO_PKM,IT,2012,45753
MIO_PKM,LT,2012,278
MIO_PKM,LU,2012,373
MIO_PKM,LV,2012,717
MIO_PKM,MK,2012,99
MIO_PKM,NL,2012,
MIO_PKM,NO,2012,3092
MIO_PKM,PL,2012,17110
MIO_PKM,PT,2012,3803
MIO_PKM,RO,2012,4518
MIO_PKM,SE,2012,11792
MIO_PKM,SI,2012,659
MIO_PKM,SK,2012,2459
MIO_PKM,TR,2012,4598
MIO_PKM,UK,2012,60783
MIO_PKM,AT,2013,11188
MIO_PKM,BE,2013,
MIO_PKM,BG,2013,1821
MIO_PKM,CH,2013,18277
MIO_PKM,CZ,2013,7512
MIO_PKM,DE,2013,89450
MIO_PKM,DK,2013,6566
MIO_PKM,EE,2013,223
MIO_PKM,EL,2013,1056
MIO_PKM,ES,2013,23660
MIO_PKM,EU27_2007,2013,
MIO_PKM,EU27_2020,2013,
MIO_PKM,EU28,2013,
MIO_PKM,FI,2013,4053
MIO_PKM,FR,2013,90485
MIO_PKM,HR,2013,935
MIO_PKM,HU,2013,7806
MIO_PKM,IE,2013,1569
MIO_PKM,IT,2013,47707
MIO_PKM,LT,2013,278
MIO_PKM,LU,2013,394
MIO_PKM,LV,2013,721
MIO_PKM,MK,2013,80
MIO_PKM,NL,2013,
MIO_PKM,NO,2013,3260
MIO_PKM,PL,2013,16453
MIO_PKM,PT,2013,3649
MIO_PKM,RO,2013,4352
MIO_PKM,SE,2013,11842
MIO_PKM,SI,2013,679
MIO_PKM,SK,2013,2485
MIO_PKM,TR,2013,3775
MIO_PKM,UK,2013,61950
MIO_PKM,AT,2014,11345
MIO_PKM,BE,2014,
MIO_PKM,BG,2014,1698
MIO_PKM,CH,2014,18801
MIO_PKM,CZ,2014,7644
MIO_PKM,DE,2014,90978
MIO_PKM,DK,2014,6513
MIO_PKM,EE,2014,280
MIO_PKM,EL,2014,1072
MIO_PKM,ES,2014,24915
MIO_PKM,EU27_2007,2014,
MIO_PKM,EU27_2020,2014,
MIO_PKM,EU28,2014,
MIO_PKM,FI,2014,3874
MIO_PKM,FR,2014,89499
MIO_PKM,HR,2014,917
MIO_PKM,HU,2014,7710
MIO_PKM,IE,2014,1728
MIO_PKM,IT,2014,48881
MIO_PKM,LT,2014,270
MIO_PKM,LU,2014,366
MIO_PKM,LV,2014,644
MIO_PKM,MK,2014,80
MIO_PKM,NL,2014,
MIO_PKM,NO,2014,3440
MIO_PKM,PL,2014,15479
MIO_PKM,PT,2014,3852
MIO_PKM,RO,2014,4971
MIO_PKM,SE,2014,12121
MIO_PKM,SI,2014,620
MIO_PKM,SK,2014,2583
MIO_PKM,TR,2014,4393
MIO_PKM,UK,2014,64711
MIO_PKM,AT,2015,11433
MIO_PKM,BE,2015,
MIO_PKM,BG,2015,1549
MIO_PKM,CH,2015,19089
MIO_PKM,CZ,2015,8125
MIO_PKM,DE,2015,91050
MIO_PKM,DK,2015,6507
MIO_PKM,EE,2015,286
MIO_PKM,EL,2015,1263
MIO_PKM,ES,2015,26018
MIO_PKM,EU27_2007,2015,441366
MIO_PKM,EU27_2020,2015,375713
MIO_PKM,EU28,2015,442307
MIO_PKM,FI,2015,4114
MIO_PKM,FR,2015,91377
MIO_PKM,HR,2015,941
MIO_PKM,HU,2015,
MIO_PKM,IE,2015,1918
MIO_PKM,IT,2015,51121
MIO_PKM,LT,2015,262
MIO_PKM,LU,2015,418
MIO_PKM,LV,2015,590
MIO_PKM,MK,2015,177
MIO_PKM,NL,2015,
MIO_PKM,NO,2015,3555
MIO_PKM,PL,2015,17024
MIO_PKM,PT,2015,3957
MIO_PKM,RO,2015,4910
MIO_PKM,SE,2015,12741
MIO_PKM,SI,2015,628
MIO_PKM,SK,2015,3411
MIO_PKM,TR,2015,4828
MIO_PKM,UK,2015,66594
MIO_PKM,AT,2016,12021
MIO_PKM,BE,2016,
MIO_PKM,BG,2016,1455
MIO_PKM,CH,2016,19573
MIO_PKM,CZ,2016,8738
MIO_PKM,DE,2016,95465
MIO_PKM,DK,2016,6332
MIO_PKM,EE,2016,316
MIO_PKM,EL,2016,1192
MIO_PKM,ES,2016,26532
MIO_PKM,EU27_2007,2016,450298
MIO_PKM,EU27_2020,2016,383115
MIO_PKM,EU28,2016,451125
MIO_PKM,FI,2016,3868
MIO_PKM,FR,2016,90612
MIO_PKM,HR,2016,827
MIO_PKM,HU,2016,
MIO_PKM,IE,2016,1991
MIO_PKM,IT,2016,51716
MIO_PKM,LT,2016,280
MIO_PKM,LU,2016,417
MIO_PKM,LV,2016,584
MIO_PKM,MK,2016,83
MIO_PKM,NL,2016,
MIO_PKM,NO,2016,3695
MIO_PKM,PL,2016,18753
MIO_PKM,PT,2016,4266
MIO_PKM,RO,2016,4731
MIO_PKM,SE,2016,12800
MIO_PKM,SI,2016,611
MIO_PKM,SK,2016,3484
MIO_PKM,TR,2016,4325
MIO_PKM,UK,2016,68010
MIO_PKM,AT,2017,12077
MIO_PKM,BE,2017,
MIO_PKM,BG,2017,1434
MIO_PKM,CH,2017,19586
MIO_PKM,CZ,2017,9403
MIO_PKM,DE,2017,95529
MIO_PKM,DK,2017,6280
MIO_PKM,EE,2017,366
MIO_PKM,EL,2017,1112
MIO_PKM,ES,2017,27374
MIO_PKM,EU27_2007,2017,463983
MIO_PKM,EU27_2020,2017,395807
MIO_PKM,EU28,2017,464719
MIO_PKM,FI,2017,4271
MIO_PKM,FR,2017,96690
MIO_PKM,HR,2017,736
MIO_PKM,HU,2017,
MIO_PKM,IE,2017,2122
MIO_PKM,IT,2017,52778
MIO_PKM,LT,2017,315
MIO_PKM,LU,2017,438
MIO_PKM,LV,2017,596
MIO_PKM,MK,2017,59
MIO_PKM,NL,2017,
MIO_PKM,NO,2017,3584
MIO_PKM,PL,2017,20120
MIO_PKM,PT,2017,4516
MIO_PKM,RO,2017,5556
MIO_PKM,SE,2017,13331
MIO_PKM,SI,2017,570
MIO_PKM,SK,2017,3754
MIO_PKM,TR,2017,4566
MIO_PKM,UK,2017,68912
MIO_PKM,AT,2018,12681
MIO_PKM,BE,2018,
MIO_PKM,BG,2018,1476
MIO_PKM,CH,2018,19245
MIO_PKM,CZ,2018,10220
MIO_PKM,DE,2018,98161
MIO_PKM,DK,2018,6182
MIO_PKM,EE,2018,417
MIO_PKM,EL,2018,1104
MIO_PKM,ES,2018,28317
MIO_PKM,EU27_2007,2018,470954
MIO_PKM,EU27_2020,2018,401996
MIO_PKM,EU28,2018,471702
MIO_PKM,FI,2018,4535
MIO_PKM,FR,2018,93387
MIO_PKM,HR,2018,747
MIO_PKM,HU,2018,
MIO_PKM,IE,2018,2281
MIO_PKM,IT,2018,55037
MIO_PKM,LT,2018,354
MIO_PKM,LU,2018,443
MIO_PKM,LV,2018,624
MIO_PKM,MK,2018,63
MIO_PKM,NL,2018,
MIO_PKM,NO,2018,3722
MIO_PKM,PL,2018,20849
MIO_PKM,PT,2018,4570
MIO_PKM,RO,2018,5426
MIO_PKM,SE,2018,13547
MIO_PKM,SI,2018,568
MIO_PKM,SK,2018,3792
MIO_PKM,TR,2018,5560
MIO_PKM,UK,2018,69706
MIO_PKM,AT,2019,12761
MIO_PKM,BE,2019,
MIO_PKM,BG,2019,1520
MIO_PKM,CH,2019,20315
MIO_PKM,CZ,2019,10856
MIO_PKM,DE,2019,100252
MIO_PKM,DK,2019,6174
MIO_PKM,EE,2019,392
MIO_PKM,EL,2019,1252
MIO_PKM,ES,2019,28703
MIO_PKM,EU27_2007,2019,486844
MIO_PKM,EU27_2020,2019,415744
MIO_PKM,EU28,2019,487568
MIO_PKM,FI,2019,4924
MIO_PKM,FR,2019,98360
MIO_PKM,HR,2019,724
MIO_PKM,HU,2019,
MIO_PKM,IE,2019,2399
MIO_PKM,IT,2019,56160
MIO_PKM,LT,2019,359
MIO_PKM,LU,2019,463
MIO_PKM,LV,2019,643
MIO_PKM,MK,2019,62
MIO_PKM,NL,2019,
MIO_PKM,NO,2019,3715
MIO_PKM,PL,2019,21834
MIO_PKM,PT,2019,5055
MIO_PKM,RO,2019,5735
MIO_PKM,SE,2019,14617
MIO_PKM,SI,2019,572
MIO_PKM,SK,2019,3957
MIO_PKM,TR,2019,11068
MIO_PKM,UK,2019,71823
MIO_PKM,AT,2020,6964
MIO_PKM,BE,2020,
MIO_PKM,BG,2020,1118
MIO_PKM,CH,2020,12425
MIO_PKM,CZ,2020,6623
MIO_PKM,DE,2020,57470
MIO_PKM,DK,2020,3940
MIO_PKM,EE,2020,263
MIO_PKM,EL,2020,640
MIO_PKM,ES,2020,11987
MIO_PKM,EU27_2007,2020,
MIO_PKM,EU27_2020,2020,223210
MIO_PKM,EU28,2020,
MIO_PKM,FI,2020,2820
MIO_PKM,FR,2020,56465
MIO_PKM,HR,2020,448
MIO_PKM,HU,2020,
MIO_PKM,IE,2020,835
MIO_PKM,IT,2020,22064
MIO_PKM,LT,2020,237
MIO_PKM,LU,2020,268
MIO_PKM,LV,2020,413
MIO_PKM,MK,2020,25
MIO_PKM,NL,2020,
MIO_PKM,NO,2020,1801
MIO_PKM,PL,2020,
MIO_PKM,PT,2020,2563
MIO_PKM,RO,2020,3609
MIO_PKM,SE,2020,8129
MIO_PKM,SI,2020,338
MIO_PKM,SK,2020,2133
MIO_PKM,TR,2020,6094
MIO_PKM,UK,2020,
