Country,Year,ModalSplit_VehicleType,ModalSplit_ModalSplitKm,ModalTransportToGDP_GDP,RailwayLength_RailwayLengthKm,RailwayTransport_RailwayTransportKm,AirTransport_AirTransportKm,MotorwayNetwork_Unit,MotorwayNetwork_MotorwayLengthKm,RailwayNetwork_RailwayLengthKm,RoadTrafficDeaths_TypeOfRoad,RoadTrafficDeaths_Unit,RoadTrafficDeaths_RoadTrafficDeaths,MotorwayLength_TypeOfRoad,MotorwayLength_LengthOfMotorways
AT,1990,BUS_TOT,8.2,,,,,,,,,,,,
AT,1990,CAR,79.6,,,,,,,,,,,,
AT,1990,TRN,12.3,,,,,,,,,,,,
AT,1990,TRN_BUS_TOT_AVD,20.4,,,,,,,,,,,,
AT,1991,BUS_TOT,8.1,,,,,,,,,,,,
AT,1991,CAR,79.2,,,,,,,,,,,,
AT,1991,TRN,12.7,,,,,,,,,,,,
AT,1991,TRN_BUS_TOT_AVD,20.8,,,,,,,,,,,,
AT,1992,BUS_TOT,8.2,,,,,,,,,,,,
AT,1992,CAR,79.0,,,,,,,,,,,,
AT,1992,TRN,12.8,,,,,,,,,,,,
AT,1992,TRN_BUS_TOT_AVD,21.0,,,,,,,,,,,,
AT,1993,BUS_TOT,8.4,,,,,,,,,,,,
AT,1993,CAR,79.2,,,,,,,,,,,,
AT,1993,TRN,12.4,,,,,,,,,,,,
AT,1993,TRN_BUS_TOT_AVD,20.8,,,,,,,,,,,,
AT,1994,BUS_TOT,8.8,,,,,,,,,,,,
AT,1994,CAR,79.4,,,,,,,,,,,,
AT,1994,TRN,11.8,,,,,,,,,,,,
AT,1994,TRN_BUS_TOT_AVD,20.6,,,,,,,,,,,,
AT,1995,BUS_TOT,9.0,115.2,,,,,,,,,,,
AT,1995,CAR,78.8,115.2,,,,,,,,,,,
AT,1995,TRN,12.2,115.2,,,,,,,,,,,
AT,1995,TRN_BUS_TOT_AVD,21.2,115.2,,,,,,,,,,,
AT,1996,BUS_TOT,9.1,114.3,,,,,,,,,,,
AT,1996,CAR,78.8,114.3,,,,,,,,,,,
AT,1996,TRN,12.1,114.3,,,,,,,,,,,
AT,1996,TRN_BUS_TOT_AVD,21.2,114.3,,,,,,,,,,,
AT,1997,BUS_TOT,9.8,111.6,,,,,,,,,,,
AT,1997,CAR,80.0,111.6,,,,,,,,,,,
AT,1997,TRN,10.2,111.6,,,,,,,,,,,
AT,1997,TRN_BUS_TOT_AVD,20.0,111.6,,,,,,,,,,,
AT,1998,BUS_TOT,10.2,109.5,,,,,,,,,,,
AT,1998,CAR,80.0,109.5,,,,,,,,,,,
AT,1998,TRN,9.8,109.5,,,,,,,,,,,
AT,1998,TRN_BUS_TOT_AVD,20.0,109.5,,,,,,,,,,,
AT,1999,BUS_TOT,10.4,107.8,,,,,,,,,,,
AT,1999,CAR,79.9,107.8,,,,,,,,,,,
AT,1999,TRN,9.7,107.8,,,,,,,,,,,
AT,1999,TRN_BUS_TOT_AVD,20.1,107.8,,,,,,,,,,,
AT,2000,BUS_TOT,10.7,105.7,,,,,,,MWAY,NR,126.0,,
AT,2000,BUS_TOT,10.7,105.7,,,,,,,MWAY,RT,1.6,,
AT,2000,BUS_TOT,10.7,105.7,,,,,,,RD_RUR,NR,633.0,,
AT,2000,BUS_TOT,10.7,105.7,,,,,,,RD_RUR,RT,7.9,,
AT,2000,BUS_TOT,10.7,105.7,,,,,,,RD_URB,NR,217.0,,
AT,2000,BUS_TOT,10.7,105.7,,,,,,,RD_URB,RT,2.7,,
AT,2000,BUS_TOT,10.7,105.7,,,,,,,TOTAL,NR,976.0,,
AT,2000,BUS_TOT,10.7,105.7,,,,,,,TOTAL,RT,12.2,,
AT,2000,CAR,79.5,105.7,,,,,,,MWAY,NR,126.0,,
AT,2000,CAR,79.5,105.7,,,,,,,MWAY,RT,1.6,,
AT,2000,CAR,79.5,105.7,,,,,,,RD_RUR,NR,633.0,,
AT,2000,CAR,79.5,105.7,,,,,,,RD_RUR,RT,7.9,,
AT,2000,CAR,79.5,105.7,,,,,,,RD_URB,NR,217.0,,
AT,2000,CAR,79.5,105.7,,,,,,,RD_URB,RT,2.7,,
AT,2000,CAR,79.5,105.7,,,,,,,TOTAL,NR,976.0,,
AT,2000,CAR,79.5,105.7,,,,,,,TOTAL,RT,12.2,,
AT,2000,TRN,9.8,105.7,,,,,,,MWAY,NR,126.0,,
AT,2000,TRN,9.8,105.7,,,,,,,MWAY,RT,1.6,,
AT,2000,TRN,9.8,105.7,,,,,,,RD_RUR,NR,633.0,,
AT,2000,TRN,9.8,105.7,,,,,,,RD_RUR,RT,7.9,,
AT,2000,TRN,9.8,105.7,,,,,,,RD_URB,NR,217.0,,
AT,2000,TRN,9.8,105.7,,,,,,,RD_URB,RT,2.7,,
AT,2000,TRN,9.8,105.7,,,,,,,TOTAL,NR,976.0,,
AT,2000,TRN,9.8,105.7,,,,,,,TOTAL,RT,12.2,,
AT,2000,TRN_BUS_TOT_AVD,20.5,105.7,,,,,,,MWAY,NR,126.0,,
AT,2000,TRN_BUS_TOT_AVD,20.5,105.7,,,,,,,MWAY,RT,1.6,,
AT,2000,TRN_BUS_TOT_AVD,20.5,105.7,,,,,,,RD_RUR,NR,633.0,,
AT,2000,TRN_BUS_TOT_AVD,20.5,105.7,,,,,,,RD_RUR,RT,7.9,,
AT,2000,TRN_BUS_TOT_AVD,20.5,105.7,,,,,,,RD_URB,NR,217.0,,
AT,2000,TRN_BUS_TOT_AVD,20.5,105.7,,,,,,,RD_URB,RT,2.7,,
AT,2000,TRN_BUS_TOT_AVD,20.5,105.7,,,,,,,TOTAL,NR,976.0,,
AT,2000,TRN_BUS_TOT_AVD,20.5,105.7,,,,,,,TOTAL,RT,12.2,,
AT,2001,BUS_TOT,10.6,105.0,,,,,,,MWAY,NR,156.0,,
AT,2001,BUS_TOT,10.6,105.0,,,,,,,MWAY,RT,1.9,,
AT,2001,BUS_TOT,10.6,105.0,,,,,,,RD_RUR,NR,586.0,,
AT,2001,BUS_TOT,10.6,105.0,,,,,,,RD_RUR,RT,7.3,,
AT,2001,BUS_TOT,10.6,105.0,,,,,,,RD_URB,NR,216.0,,
AT,2001,BUS_TOT,10.6,105.0,,,,,,,RD_URB,RT,2.7,,
AT,2001,BUS_TOT,10.6,105.0,,,,,,,TOTAL,NR,958.0,,
AT,2001,BUS_TOT,10.6,105.0,,,,,,,TOTAL,RT,11.9,,
AT,2001,CAR,79.6,105.0,,,,,,,MWAY,NR,156.0,,
AT,2001,CAR,79.6,105.0,,,,,,,MWAY,RT,1.9,,
AT,2001,CAR,79.6,105.0,,,,,,,RD_RUR,NR,586.0,,
AT,2001,CAR,79.6,105.0,,,,,,,RD_RUR,RT,7.3,,
AT,2001,CAR,79.6,105.0,,,,,,,RD_URB,NR,216.0,,
AT,2001,CAR,79.6,105.0,,,,,,,RD_URB,RT,2.7,,
AT,2001,CAR,79.6,105.0,,,,,,,TOTAL,NR,958.0,,
AT,2001,CAR,79.6,105.0,,,,,,,TOTAL,RT,11.9,,
AT,2001,TRN,9.8,105.0,,,,,,,MWAY,NR,156.0,,
AT,2001,TRN,9.8,105.0,,,,,,,MWAY,RT,1.9,,
AT,2001,TRN,9.8,105.0,,,,,,,RD_RUR,NR,586.0,,
AT,2001,TRN,9.8,105.0,,,,,,,RD_RUR,RT,7.3,,
AT,2001,TRN,9.8,105.0,,,,,,,RD_URB,NR,216.0,,
AT,2001,TRN,9.8,105.0,,,,,,,RD_URB,RT,2.7,,
AT,2001,TRN,9.8,105.0,,,,,,,TOTAL,NR,958.0,,
AT,2001,TRN,9.8,105.0,,,,,,,TOTAL,RT,11.9,,
AT,2001,TRN_BUS_TOT_AVD,20.4,105.0,,,,,,,MWAY,NR,156.0,,
AT,2001,TRN_BUS_TOT_AVD,20.4,105.0,,,,,,,MWAY,RT,1.9,,
AT,2001,TRN_BUS_TOT_AVD,20.4,105.0,,,,,,,RD_RUR,NR,586.0,,
AT,2001,TRN_BUS_TOT_AVD,20.4,105.0,,,,,,,RD_RUR,RT,7.3,,
AT,2001,TRN_BUS_TOT_AVD,20.4,105.0,,,,,,,RD_URB,NR,216.0,,
AT,2001,TRN_BUS_TOT_AVD,20.4,105.0,,,,,,,RD_URB,RT,2.7,,
AT,2001,TRN_BUS_TOT_AVD,20.4,105.0,,,,,,,TOTAL,NR,958.0,,
AT,2001,TRN_BUS_TOT_AVD,20.4,105.0,,,,,,,TOTAL,RT,11.9,,
AT,2002,BUS_TOT,10.5,104.4,,,,,,,MWAY,NR,126.0,,
AT,2002,BUS_TOT,10.5,104.4,,,,,,,MWAY,RT,1.6,,
AT,2002,BUS_TOT,10.5,104.4,,,,,,,RD_RUR,NR,565.0,,
AT,2002,BUS_TOT,10.5,104.4,,,,,,,RD_RUR,RT,7.0,,
AT,2002,BUS_TOT,10.5,104.4,,,,,,,RD_URB,NR,265.0,,
AT,2002,BUS_TOT,10.5,104.4,,,,,,,RD_URB,RT,3.3,,
AT,2002,BUS_TOT,10.5,104.4,,,,,,,TOTAL,NR,956.0,,
AT,2002,BUS_TOT,10.5,104.4,,,,,,,TOTAL,RT,11.8,,
AT,2002,CAR,79.7,104.4,,,,,,,MWAY,NR,126.0,,
AT,2002,CAR,79.7,104.4,,,,,,,MWAY,RT,1.6,,
AT,2002,CAR,79.7,104.4,,,,,,,RD_RUR,NR,565.0,,
AT,2002,CAR,79.7,104.4,,,,,,,RD_RUR,RT,7.0,,
AT,2002,CAR,79.7,104.4,,,,,,,RD_URB,NR,265.0,,
AT,2002,CAR,79.7,104.4,,,,,,,RD_URB,RT,3.3,,
AT,2002,CAR,79.7,104.4,,,,,,,TOTAL,NR,956.0,,
AT,2002,CAR,79.7,104.4,,,,,,,TOTAL,RT,11.8,,
AT,2002,TRN,9.7,104.4,,,,,,,MWAY,NR,126.0,,
AT,2002,TRN,9.7,104.4,,,,,,,MWAY,RT,1.6,,
AT,2002,TRN,9.7,104.4,,,,,,,RD_RUR,NR,565.0,,
AT,2002,TRN,9.7,104.4,,,,,,,RD_RUR,RT,7.0,,
AT,2002,TRN,9.7,104.4,,,,,,,RD_URB,NR,265.0,,
AT,2002,TRN,9.7,104.4,,,,,,,RD_URB,RT,3.3,,
AT,2002,TRN,9.7,104.4,,,,,,,TOTAL,NR,956.0,,
AT,2002,TRN,9.7,104.4,,,,,,,TOTAL,RT,11.8,,
AT,2002,TRN_BUS_TOT_AVD,20.3,104.4,,,,,,,MWAY,NR,126.0,,
AT,2002,TRN_BUS_TOT_AVD,20.3,104.4,,,,,,,MWAY,RT,1.6,,
AT,2002,TRN_BUS_TOT_AVD,20.3,104.4,,,,,,,RD_RUR,NR,565.0,,
AT,2002,TRN_BUS_TOT_AVD,20.3,104.4,,,,,,,RD_RUR,RT,7.0,,
AT,2002,TRN_BUS_TOT_AVD,20.3,104.4,,,,,,,RD_URB,NR,265.0,,
AT,2002,TRN_BUS_TOT_AVD,20.3,104.4,,,,,,,RD_URB,RT,3.3,,
AT,2002,TRN_BUS_TOT_AVD,20.3,104.4,,,,,,,TOTAL,NR,956.0,,
AT,2002,TRN_BUS_TOT_AVD,20.3,104.4,,,,,,,TOTAL,RT,11.8,,
AT,2003,BUS_TOT,10.6,104.8,,,,,,,MWAY,NR,106.0,,
AT,2003,BUS_TOT,10.6,104.8,,,,,,,MWAY,RT,1.3,,
AT,2003,BUS_TOT,10.6,104.8,,,,,,,RD_RUR,NR,602.0,,
AT,2003,BUS_TOT,10.6,104.8,,,,,,,RD_RUR,RT,7.4,,
AT,2003,BUS_TOT,10.6,104.8,,,,,,,RD_URB,NR,223.0,,
AT,2003,BUS_TOT,10.6,104.8,,,,,,,RD_URB,RT,2.7,,
AT,2003,BUS_TOT,10.6,104.8,,,,,,,TOTAL,NR,931.0,,
AT,2003,BUS_TOT,10.6,104.8,,,,,,,TOTAL,RT,11.5,,
AT,2003,CAR,79.8,104.8,,,,,,,MWAY,NR,106.0,,
AT,2003,CAR,79.8,104.8,,,,,,,MWAY,RT,1.3,,
AT,2003,CAR,79.8,104.8,,,,,,,RD_RUR,NR,602.0,,
AT,2003,CAR,79.8,104.8,,,,,,,RD_RUR,RT,7.4,,
AT,2003,CAR,79.8,104.8,,,,,,,RD_URB,NR,223.0,,
AT,2003,CAR,79.8,104.8,,,,,,,RD_URB,RT,2.7,,
AT,2003,CAR,79.8,104.8,,,,,,,TOTAL,NR,931.0,,
AT,2003,CAR,79.8,104.8,,,,,,,TOTAL,RT,11.5,,
AT,2003,TRN,9.6,104.8,,,,,,,MWAY,NR,106.0,,
AT,2003,TRN,9.6,104.8,,,,,,,MWAY,RT,1.3,,
AT,2003,TRN,9.6,104.8,,,,,,,RD_RUR,NR,602.0,,
AT,2003,TRN,9.6,104.8,,,,,,,RD_RUR,RT,7.4,,
AT,2003,TRN,9.6,104.8,,,,,,,RD_URB,NR,223.0,,
AT,2003,TRN,9.6,104.8,,,,,,,RD_URB,RT,2.7,,
AT,2003,TRN,9.6,104.8,,,,,,,TOTAL,NR,931.0,,
AT,2003,TRN,9.6,104.8,,,,,,,TOTAL,RT,11.5,,
AT,2003,TRN_BUS_TOT_AVD,20.2,104.8,,,,,,,MWAY,NR,106.0,,
AT,2003,TRN_BUS_TOT_AVD,20.2,104.8,,,,,,,MWAY,RT,1.3,,
AT,2003,TRN_BUS_TOT_AVD,20.2,104.8,,,,,,,RD_RUR,NR,602.0,,
AT,2003,TRN_BUS_TOT_AVD,20.2,104.8,,,,,,,RD_RUR,RT,7.4,,
AT,2003,TRN_BUS_TOT_AVD,20.2,104.8,,,,,,,RD_URB,NR,223.0,,
AT,2003,TRN_BUS_TOT_AVD,20.2,104.8,,,,,,,RD_URB,RT,2.7,,
AT,2003,TRN_BUS_TOT_AVD,20.2,104.8,,,,,,,TOTAL,NR,931.0,,
AT,2003,TRN_BUS_TOT_AVD,20.2,104.8,,,,,,,TOTAL,RT,11.5,,
AT,2004,BUS_TOT,10.6,102.9,,,,,,,MWAY,NR,118.0,,
AT,2004,BUS_TOT,10.6,102.9,,,,,,,MWAY,RT,1.4,,
AT,2004,BUS_TOT,10.6,102.9,,,,,,,RD_RUR,NR,528.0,,
AT,2004,BUS_TOT,10.6,102.9,,,,,,,RD_RUR,RT,6.5,,
AT,2004,BUS_TOT,10.6,102.9,,,,,,,RD_URB,NR,232.0,,
AT,2004,BUS_TOT,10.6,102.9,,,,,,,RD_URB,RT,2.8,,
AT,2004,BUS_TOT,10.6,102.9,,,,,,,TOTAL,NR,878.0,,
AT,2004,BUS_TOT,10.6,102.9,,,,,,,TOTAL,RT,10.7,,
AT,2004,CAR,79.9,102.9,,,,,,,MWAY,NR,118.0,,
AT,2004,CAR,79.9,102.9,,,,,,,MWAY,RT,1.4,,
AT,2004,CAR,79.9,102.9,,,,,,,RD_RUR,NR,528.0,,
AT,2004,CAR,79.9,102.9,,,,,,,RD_RUR,RT,6.5,,
AT,2004,CAR,79.9,102.9,,,,,,,RD_URB,NR,232.0,,
AT,2004,CAR,79.9,102.9,,,,,,,RD_URB,RT,2.8,,
AT,2004,CAR,79.9,102.9,,,,,,,TOTAL,NR,878.0,,
AT,2004,CAR,79.9,102.9,,,,,,,TOTAL,RT,10.7,,
AT,2004,TRN,9.5,102.9,,,,,,,MWAY,NR,118.0,,
AT,2004,TRN,9.5,102.9,,,,,,,MWAY,RT,1.4,,
AT,2004,TRN,9.5,102.9,,,,,,,RD_RUR,NR,528.0,,
AT,2004,TRN,9.5,102.9,,,,,,,RD_RUR,RT,6.5,,
AT,2004,TRN,9.5,102.9,,,,,,,RD_URB,NR,232.0,,
AT,2004,TRN,9.5,102.9,,,,,,,RD_URB,RT,2.8,,
AT,2004,TRN,9.5,102.9,,,,,,,TOTAL,NR,878.0,,
AT,2004,TRN,9.5,102.9,,,,,,,TOTAL,RT,10.7,,
AT,2004,TRN_BUS_TOT_AVD,20.1,102.9,,,,,,,MWAY,NR,118.0,,
AT,2004,TRN_BUS_TOT_AVD,20.1,102.9,,,,,,,MWAY,RT,1.4,,
AT,2004,TRN_BUS_TOT_AVD,20.1,102.9,,,,,,,RD_RUR,NR,528.0,,
AT,2004,TRN_BUS_TOT_AVD,20.1,102.9,,,,,,,RD_RUR,RT,6.5,,
AT,2004,TRN_BUS_TOT_AVD,20.1,102.9,,,,,,,RD_URB,NR,232.0,,
AT,2004,TRN_BUS_TOT_AVD,20.1,102.9,,,,,,,RD_URB,RT,2.8,,
AT,2004,TRN_BUS_TOT_AVD,20.1,102.9,,,,,,,TOTAL,NR,878.0,,
