Country,Year,GDP
CH,1990,112.1
DK,1990,124.0
FI,1990,123.8
FR,1990,101.6
NO,1990,124.5
UK,1990,135.2
CH,1991,116.9
DE,1991,100.6
DK,1991,123.3
FI,1991,129.3
FR,1991,102.5
UK,1991,135.0
CH,1992,114.3
DE,1992,101.0
DK,1992,121.8
FI,1992,132.9
FR,1992,103.3
UK,1992,134.3
CH,1993,112.1
DE,1993,104.0
DK,1993,124.0
FI,1993,131.9
FR,1993,105.3
SE,1993,126.5
UK,1993,135.8
CH,1994,111.7
DE,1994,110.7
DK,1994,118.5
FI,1994,126.7
FR,1994,106.0
SE,1994,123.2
UK,1994,131.7
AT,1995,115.2
BE,1995,115.6
BG,1995,100.2
CH,1995,110.3
CY,1995,104.2
CZ,1995,139.0
DE,1995,110.6
DK,1995,116.9
EL,1995,76.7
ES,1995,110.9
FI,1995,122.7
FR,1995,101.7
HR,1995,86.7
HU,1995,130.8
IE,1995,135.4
IS,1995,102.3
IT,1995,99.6
LU,1995,123.6
LV,1995,132.1
NO,1995,106.5
PL,1995,131.2
PT,1995,96.0
RO,1995,110.1
SE,1995,120.2
SI,1995,113.8
SK,1995,226.2
UK,1995,129.7
AT,1996,114.3
BE,1996,113.8
BG,1996,89.8
CH,1996,111.2
CY,1996,106.2
CZ,1996,135.8
DE,1996,109.9
DK,1996,115.5
EL,1996,78.4
ES,1996,112.7
FI,1996,119.3
FR,1996,102.2
HR,1996,93.6
HU,1996,129.3
IE,1996,130.7
IS,1996,102.4
IT,1996,100.4
LU,1996,124.3
LV,1996,129.0
NO,1996,105.7
PL,1996,126.6
PT,1996,96.9
RO,1996,109.6
SE,1996,119.0
SI,1996,119.0
SK,1996,206.4
UK,1996,127.7
AT,1997,111.6
BE,1997,111.5
BG,1997,103.6
CH,1997,109.3
CY,1997,105.9
CZ,1997,136.0
DE,1997,108.1
DK,1997,113.9
EL,1997,78.7
ES,1997,111.9
FI,1997,115.1
FR,1997,101.4
HR,1997,96.4
HU,1997,128.4
IE,1997,123.3
IS,1997,102.7
IT,1997,100.1
LU,1997,120.1
LV,1997,131.1
NO,1997,103.2
PL,1997,125.4
PT,1997,97.2
RO,1997,114.7
SE,1997,115.7
SI,1997,119.8
SK,1997,186.1
UK,1997,124.0
AT,1998,109.5
BE,1998,111.7
BG,1998,98.6
CH,1998,109.2
CY,1998,102.2
CZ,1998,136.1
DE,1998,107.3
DK,1998,112.4
EE,1998,104.8
EL,1998,79.1
ES,1998,112.1
FI,1998,111.2
FR,1998,100.7
HR,1998,96.1
HU,1998,125.0
IE,1998,117.9
IS,1998,101.4
IT,1998,101.1
LU,1998,115.5
LV,1998,134.8
NO,1998,103.7
PL,1998,126.8
PT,1998,98.9
RO,1998,113.4
SE,1998,111.8
SI,1998,113.5
SK,1998,174.0
TR,1998,111.4
UK,1998,120.6
AT,1999,107.8
BE,1999,110.0
BG,1999,103.5
CH,1999,109.1
