Country,Year,PopulationCount
AL,2016,2886026.0
AL,2017,2876591.0
AL,2018,2870324.0
AL,2019,2862427.0
AL,2020,2845955.0
AT,2009,8335003.0
AT,2010,8351643.0
AT,2011,8375164.0
AT,2012,8408121.0
AT,2013,8451860.0
AT,2014,8507786.0
AT,2015,8584926.0
AT,2016,8700471.0
AT,2017,8772865.0
AT,2018,8822267.0
AT,2019,8858775.0
AT,2020,8901064.0
BE,2009,10753080.0
BE,2010,10839905.0
BE,2011,11000638.0
BE,2012,11075889.0
BE,2013,11137974.0
BE,2014,11180840.0
BE,2015,11237274.0
BE,2016,11311117.0
BE,2017,11351727.0
BE,2018,11398589.0
BE,2019,11455519.0
BE,2020,11522440.0
BG,2009,7467119.0
BG,2010,7421766.0
BG,2011,7369431.0
BG,2012,7327224.0
BG,2013,7284552.0
BG,2014,7245677.0
BG,2015,7202198.0
BG,2016,7153784.0
BG,2017,7101859.0
BG,2018,7050034.0
BG,2019,7000039.0
BG,2020,6951482.0
CH,2009,7701856.0
CH,2010,7785806.0
CH,2011,7870134.0
CH,2012,7954662.0
CH,2013,8039060.0
CH,2014,8139631.0
CH,2015,8237666.0
CH,2016,8327126.0
CH,2017,8419550.0
CH,2018,8484130.0
CH,2019,8544527.0
CH,2020,8606033.0
CY,2009,796930.0
CY,2010,819140.0
CY,2011,839751.0
CY,2012,862011.0
CY,2013,865878.0
CY,2014,858000.0
CY,2015,847008.0
CY,2016,848319.0
CY,2017,854802.0
CY,2018,864236.0
CY,2019,875899.0
CY,2020,888005.0
CZ,2009,10425783.0
CZ,2010,10462088.0
CZ,2011,10486731.0
CZ,2012,10505445.0
CZ,2013,10516125.0
CZ,2014,10512419.0
CZ,2015,10538275.0
CZ,2016,10553843.0
CZ,2017,10578820.0
CZ,2018,10610055.0
CZ,2019,10649800.0
CZ,2020,10693939.0
DE,2009,79447660.0
DE,2010,79265010.0
DE,2011,80222060.0
DE,2012,80327900.0
DE,2013,80523740.0
DE,2014,80767464.0
DE,2015,81197540.0
DE,2016,82175680.0
DE,2017,82521656.0
DE,2018,82792350.0
DE,2019,83019220.0
DE,2020,83166710.0
DK,2009,5511451.0
DK,2010,5534738.0
DK,2011,5560628.0
DK,2012,5580516.0
DK,2013,5602628.0
DK,2014,5627235.0
DK,2015,5659715.0
DK,2016,5707251.0
DK,2017,5748769.0
DK,2018,5781190.0
DK,2019,5806081.0
DK,2020,5822763.0
EE,2009,1335740.0
EE,2010,1333290.0
EE,2011,1329660.0
EE,2012,1325217.0
EE,2013,1320174.0
EE,2014,1315819.0
EE,2015,1314870.0
EE,2016,1315944.0
EE,2017,1315635.0
EE,2018,1319133.0
EE,2019,1324820.0
EE,2020,1328976.0
EL,2009,11094745.0
EL,2010,11119289.0
EL,2011,11123392.0
EL,2012,11086406.0
EL,2013,11003615.0
EL,2014,10926807.0
EL,2015,10858018.0
EL,2016,10783748.0
EL,2017,10768193.0
EL,2018,10741165.0
EL,2019,10724599.0
EL,2020,10718565.0
ES,2009,46239270.0
ES,2010,46486620.0
ES,2011,46667176.0
ES,2012,46818220.0
ES,2013,46727890.0
ES,2014,46512200.0
ES,2015,46449564.0
ES,2016,46440100.0
ES,2017,46528024.0
ES,2018,46658450.0
ES,2019,46937060.0
ES,2020,47332616.0
FI,2009,5326314.0
FI,2010,5351427.0
FI,2011,5375276.0
FI,2012,5401267.0
FI,2013,5426674.0
FI,2014,5451270.0
FI,2015,5471753.0
FI,2016,5487308.0
FI,2017,5503297.0
FI,2018,5513130.0
FI,2019,5517919.0
FI,2020,5525292.0
FR,2009,63902944.0
FR,2010,64209584.0
FR,2011,64528764.0
FR,2012,64837930.0
FR,2013,65600350.0
FR,2014,66165980.0
FR,2015,66458150.0
FR,2016,66638390.0
FR,2017,66809816.0
FR,2018,67026224.0
FR,2019,67177630.0
FR,2020,67320216.0
HR,2009,4309796.0
HR,2010,4302847.0
HR,2011,4289857.0
HR,2012,4275984.0
HR,2013,4262140.0
HR,2014,4246809.0
HR,2015,4225316.0
HR,2016,4190669.0
HR,2017,4154213.0
HR,2018,4105493.0
HR,2019,4076246.0
HR,2020,4058165.0
HU,2009,10030975.0
HU,2010,10014324.0
HU,2011,9985722.0
HU,2012,9931925.0
