Country,Year,RailwayLengthKm
BE,2008,3513.0
BG,2008,4144.0
CZ,2008,9586.0
DE,2008,37798.0
DK,2008,3181.0
EE,2008,1196.0
EL,2008,2552.0
ES,2008,13353.0
FI,2008,5919.0
FR,2008,31041.0
HR,2008,2722.0
HU,2008,7813.0
IE,2008,1889.0
IT,2008,16529.0
LT,2008,1765.4
LU,2008,275.0
LV,2008,2263.0
MK,2008,699.0
NL,2008,2888.0
NO,2008,4114.0
PL,2008,20196.0
PT,2008,2841.6
RO,2008,10785.0
SE,2008,11032.0
SI,2008,1228.07
SK,2008,3623.0
TR,2008,8699.0
UK,2008,15814.0
BE,2009,3578.0
BG,2009,4150.0
CZ,2009,9578.0
DE,2009,37934.0
EE,2009,1196.0
EL,2009,2552.0
ES,2009,13354.0
FI,2009,5919.0
FR,2009,30939.0
HR,2009,2722.0
HU,2009,7390.0
IE,2009,1914.5
IT,2009,16686.0
LT,2009,1767.6
LU,2009,275.0
LV,2009,1884.0
MK,2009,699.0
NL,2009,2896.0
NO,2009,3910.0
PL,2009,20360.0
PT,2009,2841.6
RO,2009,10784.0
SE,2009,11149.0
SI,2009,1228.07
SK,2009,3623.0
TR,2009,9080.0
UK,2009,15754.0
AT,2010,5828.0
BG,2010,4098.0
CH,2010,5124.0
CZ,2010,9568.0
DE,2010,37877.0
EE,2010,1196.0
EL,2010,2552.0
ES,2010,13853.0
FI,2010,5919.0
FR,2010,30335.0
HR,2010,2722.0
HU,2010,7352.0
IE,2010,1927.0
IT,2010,16704.0
LT,2010,1767.6
LU,2010,275.0
LV,2010,1897.0
MK,2010,699.0
NL,2010,3013.0
NO,2010,3958.0
PL,2010,20228.0
PT,2010,2843.0
RO,2010,10785.0
SE,2010,11160.0
SI,2010,1228.07
SK,2010,3622.0
TR,2010,9594.0
UK,2010,15884.0
AT,2011,5500.0
BG,2011,4072.0
CZ,2011,9572.0
DE,2011,37846.0
EE,2011,1196.0
EL,2011,2554.0
ES,2011,13945.0
FI,2011,5944.0
FR,2011,30404.0
HR,2011,2722.0
HU,2011,7486.5
IE,2011,1931.19
IT,2011,16726.0
LT,2011,1767.6
LU,2011,275.0
LV,2011,1865.0
MK,2011,699.0
NL,2011,3013.0
NO,2011,3910.0
PL,2011,20228.0
PT,2011,2793.9
RO,2011,10777.0
SE,2011,11206.0
SI,2011,1209.13
SK,2011,3624.0
TR,2011,9642.0
AT,2012,5566.0
BG,2012,4070.0
CZ,2012,9570.0
DE,2012,37941.0
EE,2012,1196.0
EL,2012,2554.0
ES,2012,13976.0
FI,2012,5944.0
FR,2012,30581.0
HR,2012,2722.0
HU,2012,7486.2
IE,2012,1931.0
IT,2012,16742.0
LT,2012,1768.0
LU,2012,275.0
LV,2012,1859.0
MK,2012,699.0
NL,2012,3013.0
NO,2012,3891.0
PL,2012,20094.0
PT,2012,2541.2
RO,2012,10777.0
SE,2012,11136.0
SI,2012,1209.0
SK,2012,3631.0
TR,2012,9642.0
UK,2012,16195.0
AT,2013,5531.0
BG,2013,4032.0
CZ,2013,9560.0
DE,2013,37860.0
DK,2013,2095.0
EE,2013,1166.0
EL,2013,2586.0
ES,2013,15312.0
FI,2013,5944.0
FR,2013,30318.0
HR,2013,2722.0
HU,2013,7356.7
IE,2013,1931.0
IT,2013,16752.0
LT,2013,1768.0
LU,2013,275.0
LV,2013,1859.0
MK,2013,699.0
NL,2013,3013.0
NO,2013,3897.0
PL,2013,19328.0
PT,2013,2544.4
RO,2013,10768.0
RS,2013,3819.0
SE,2013,10957.0
SI,2013,1209.0
SK,2013,3631.0
TR,2013,9718.0
UK,2013,16195.0
AT,2014,5531.0
BG,2014,4023.0
CZ,2014,9559.0
DE,2014,37775.0
DK,2014,2095.0
EE,2014,1166.0
EL,2014,2238.0
ES,2014,15182.0
FI,2014,5944.0
FR,2014,29335.0
HR,2014,2604.0
HU,2014,7193.0
IE,2014,1931.0
LT,2014,1768.0
LU,2014,275.0
LV,2014,1860.0
MK,2014,699.0
NL,2014,3032.0
NO,2014,3906.0
PL,2014,19240.0
PT,2014,2546.0
RO,2014,10777.0
RS,2014,3819.0
SE,2014,10881.0
SI,2014,1209.0
SK,2014,3627.0
TR,2014,10087.0
UK,2014,16202.0
AT,2015,5522.0
BG,2015,4019.0
CH,2015,5215.0
CZ,2015,9566.0
DE,2015,38466.0
DK,2015,2031.0
EE,2015,1164.0
EL,2015,2240.0
ES,2015,15384.0
FI,2015,5923.0
FR,2015,28987.0
HR,2015,2604.0
HU,2015,7197.0
IE,2015,1931.0
LT,2015,1877.0
LU,2015,275.0
LV,2015,1860.0
MK,2015,699.0
NL,2015,3031.0
NO,2015,3896.0
PL,2015,19231.0
PT,2015,2546.0
RO,2015,10770.0
RS,2015,3766.0
SE,2015,10908.0
SI,2015,1209.0
SK,2015,3626.0
TR,2015,10131.0
UK,2015,16241.0
AT,2016,5491.0
BG,2016,4029.0
CZ,2016,9564.0
DE,2016,38623.0
DK,2016,2045.0
EE,2016,1161.0
EL,2016,2240.0
ES,2016,16167.0
FI,2016,5926.0
FR,2016,28364.0
HR,2016,2604.0
HU,2016,7811.0
IE,2016,1931.0
IT,2016,16788.0
LT,2016,1911.0
LU,2016,275.0
LV,2016,1859.6
MK,2016,683.0
NL,2016,3058.0
NO,2016,3895.0
PL,2016,19132.0
PT,2016,2546.0
RO,2016,10774.0
RS,2016,3766.0
SE,2016,10882.0
SI,2016,1209.0
SK,2016,3626.0
TR,2016,10131.0
UK,2016,16253.0
AT,2017,5527.0
BG,2017,4030.0
CZ,2017,9567.0
DE,2017,38594.0
DK,2017,1987.0
EE,2017,1161.0
EL,2017,2240.0
ES,2017,15949.0
FI,2017,5926.0
FR,2017,28120.0
HR,2017,2604.0
HU,2017,7918.0
IE,2017,1931.0
IT,2017,16787.0
LT,2017,1911.0
LU,2017,271.0
LV,2017,1859.6
MK,2017,683.0
NL,2017,3055.0
NO,2017,3895.0
PL,2017,19209.0
PT,2017,2545.96
RO,2017,10774.0
RS,2017,3764.0
SE,2017,10874.0
SI,2017,1209.0
SK,2017,3626.0
TR,2017,10207.0
UK,2017,16320.0
XK,2017,343.0
AT,2018,5526.0
BG,2018,4030.0
CZ,2018,9572.0
DE,2018,38416.0
DK,2018,1987.0
EE,2018,1161.0
EL,2018,2293.0
ES,2018,15449.0
FI,2018,5926.0
FR,2018,27594.0
HR,2018,2604.0
HU,2018,7732.0
IE,2018,2045.0
IT,2018,16781.0
LT,2018,1911.0
LU,2018,271.0
LV,2018,1859.6
MK,2018,683.0
NL,2018,3220.0
NO,2018,3887.0
PL,2018,19235.0
PT,2018,2545.96
RO,2018,10765.0
SE,2018,10906.0
