unit,tra_infr,n_tracks,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
KM,TOTAL,TOTAL,AT	: 	: 	5828 	5500 	5566 	5531 	5531 	5522 	5491 	5527 	5526 	5615 
KM,TOTAL,TOTAL,BE	3513 	3578 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KM,TOTAL,TOTAL,BG	4144 	4150 	4098 	4072 	4070 	4032 	4023 	4019 	4029 	4030 	4030 	4030 
KM,TOTAL,TOTAL,CH	: 	: 	5124 d	: 	: 	: 	: 	5215 d	: 	: 	: 	: 
KM,TOTAL,TOTAL,CZ	9586 	9578 	9568 	9572 	9570 	9560 	9559 	9566 	9564 	9567 	9572 	9562 
KM,TOTAL,TOTAL,DE	37798 	37934 	37877 	37846 	37941 	37860 	37775 	38466 d	38623 d	38594 d	38416 d	38394 
KM,TOTAL,TOTAL,DK	3181 	: 	: 	: 	: 	2095 	2095 	2031 	2045 	1987 	1987 	2042 
KM,TOTAL,TOTAL,EE	1196 	1196 	1196 	1196 	1196 	1166 	1166 	1164 	1161 	1161 	1161 	1167 
KM,TOTAL,TOTAL,EL	2552 	2552 	2552 	2554 	2554 	2586 	2238 	2240 	2240 	2240 	2293 	2280 
KM,TOTAL,TOTAL,ES	13353 d	13354 d	13853 d	13945 d	13976 d	15312 d	15182 d	15384 d	16167 	15949 	15449 	15526 
KM,TOTAL,TOTAL,FI	5919 	5919 	5919 	5944 	5944 	5944 	5944 	5923 	5926 	5926 	5926 	5923 
KM,TOTAL,TOTAL,FR	31041 	30939 	30335 	30404 	30581 	30318 	29335 	28987 	28364 	28120 	27594 	27483 
KM,TOTAL,TOTAL,HR	2722 	2722 	2722 	2722 	2722 	2722 	2604 	2604 	2604 	2604 	2604 	2617 
KM,TOTAL,TOTAL,HU	7813 	7390 	7352 	7486.5 	7486.2 	7356.7 	7193 	7197 	7811 	7918 	7732 	7743 
KM,TOTAL,TOTAL,IE	1889 	1914.5 	1927 	1931.19 	1931 	1931 	1931 	1931 	1931 	1931 	2045 	2045 
KM,TOTAL,TOTAL,IT	16529 	16686 	16704 	16726 	16742 	16752 	: 	: 	16788 	16787 	16781 	16779 
KM,TOTAL,TOTAL,LT	1765.4 	1767.6 	1767.6 	1767.6 	1768 	1768 	1768 	1877 	1911 	1911 	1911 	1911 
KM,TOTAL,TOTAL,LU	275 	275 	275 	275 	275 	275 	275 	275 	275 	271 	271 	271 
KM,TOTAL,TOTAL,LV	2263 	1884 	1897 	1865 	1859 	1859 	1860 	1860 	1859.6 	1859.6 	1859.6 	1859.6 
KM,TOTAL,TOTAL,MK	699 	699 	699 	699 	699 	699 	699 	699 	683 	683 	683 	683 
KM,TOTAL,TOTAL,NL	2888 	2896 d	3013 d	3013 d	3013 d	3013 	3032 d	3031 	3058 	3055 	3220 	: 
KM,TOTAL,TOTAL,NO	4114 	3910 	3958 	3910 	3891 	3897 	3906 	3896 	3895 	3895 	3887 	3890 
KM,TOTAL,TOTAL,PL	20196 	20360 	20228 	20228 	20094 	19328 	19240 	19231 	19132 	19209 	19235 	19398 
KM,TOTAL,TOTAL,PT	2841.6 	2841.6 	2843 	2793.9 	2541.2 	2544.4 	2546 	2546 	2546 	2545.96 	2545.96 	2526.15 
KM,TOTAL,TOTAL,RO	10785 	10784 	10785 	10777 	10777 	10768 	10777 	10770 	10774 	10774 	10765 	10759 
KM,TOTAL,TOTAL,RS	: 	: 	: 	: 	: 	3819 	3819 	3766 	3766 	3764 	: 	: 
KM,TOTAL,TOTAL,SE	11032 	11149 	11160 	11206 	11136 	10957 	10881 	10908 	10882 	10874 	10906 	10899 
KM,TOTAL,TOTAL,SI	1228.07 	1228.07 	1228.07 	1209.13 	1209 	1209 	1209 	1209 	1209 	1209 	1209 	1209 
KM,TOTAL,TOTAL,SK	3623 	3623 	3622 	3624 	3631 	3631 	3627 	3626 	3626 	3626 	3627 	3629 
KM,TOTAL,TOTAL,TR	8699 	9080 	9594 	9642 	9642 	9718 	10087 	10131 d	10131 d	10207 d	10315 d	10378 
KM,TOTAL,TOTAL,UK	15814 	15754 	15884 	: 	16195 	16195 	16202 	16241 	16253 	16320 	16289 	: 
KM,TOTAL,TOTAL,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	343 d	343 	343 
