Country,Year,RailwayLengthKm
BE,2008,5372.0
BE,2014,0.0
BE,2015,0.0
BE,2016,0.0
BE,2017,0.0
BG,2008,4373.0
BG,2009,4379.0
BG,2010,4324.0
BG,2011,4296.0
BG,2012,4294.0
BG,2013,4254.0
BG,2014,4245.0
BG,2015,4242.0
BG,2016,4251.0
BG,2017,4252.0
BG,2018,4252.0
BG,2019,4252.0
CZ,2008,10974.0
CZ,2009,10967.0
CZ,2010,10956.0
CZ,2011,10960.0
CZ,2012,10957.0
CZ,2013,10941.0
CZ,2014,10934.0
CZ,2015,10941.0
CZ,2016,10899.0
CZ,2017,10904.0
CZ,2018,10925.0
CZ,2019,10911.0
DE,2008,12798.0
DE,2009,12885.0
DE,2010,12983.0
DE,2011,13038.0
DE,2012,13086.0
DE,2013,13036.0
DE,2014,12958.0
DE,2015,12961.0
DE,2016,13105.0
DE,2017,13074.0
DE,2018,13150.0
DE,2019,13155.0
EE,2008,940.0
EE,2009,940.0
EE,2010,940.0
EE,2011,939.0
EE,2012,939.0
EE,2013,938.0
EE,2014,1142.0
EE,2015,1191.0
EE,2016,1188.0
EE,2017,1188.0
EE,2018,1188.0
EE,2019,1194.0
EL,2008,2770.0
EL,2009,2770.0
EL,2010,2770.0
EL,2011,2774.0
EL,2012,2437.0
EL,2013,2458.0
EL,2014,2428.0
EL,2015,2430.0
EL,2016,2430.0
EL,2017,2430.0
EL,2018,2486.0
EL,2019,2472.0
ES,2008,16209.0
ES,2009,15900.0
ES,2010,16505.0
ES,2011,16604.0
ES,2012,16595.0
ES,2013,16597.0
ES,2014,16560.0
ES,2015,16715.0
ES,2016,16562.0
ES,2017,16544.0
ES,2018,16532.0
FI,2008,6038.0
FI,2009,6038.0
FI,2010,6038.0
FI,2011,6063.0
FI,2012,6063.0
FI,2013,6063.0
FI,2014,6063.0
FI,2015,6042.0
FI,2016,6037.0
FI,2017,6037.0
FI,2018,6037.0
FI,2019,6034.0
FR,2008,31388.0
FR,2009,29851.0
FR,2010,29655.0
FR,2011,29823.0
FR,2012,29740.0
FR,2013,29395.0
FR,2014,29537.0
FR,2015,29249.0
FR,2016,28696.0
FR,2017,28508.0
FR,2018,29080.0
FR,2019,27869.0
HR,2008,2815.0
HR,2009,2815.0
HR,2010,2815.0
HR,2011,2815.0
HR,2012,2815.0
HR,2013,2815.0
HR,2014,2693.0
HR,2015,2693.0
HR,2016,2693.0
HR,2017,2693.0
HR,2018,2693.0
HR,2019,2707.0
HU,2008,7441.0
HU,2009,7049.0
HU,2010,7049.0
HU,2011,6849.0
HU,2012,6859.0
HU,2013,7504.0
HU,2014,7253.0
HU,2015,6926.0
HU,2016,7915.0
HU,2017,7919.0
HU,2018,8385.0
HU,2019,7921.0
IE,2014,1680.0
IE,2015,1680.0
IE,2016,1680.0
IE,2017,1680.0
IE,2018,1762.0
IE,2019,1680.0
IT,2008,17593.0
IT,2009,17755.0
IT,2010,17779.0
IT,2011,17793.0
IT,2012,17809.0
IT,2013,17792.0
IT,2014,17761.0
IT,2015,17759.0
IT,2016,17830.0
IT,2017,17812.0
IT,2018,17816.0
IT,2019,17817.0
LI,2008,67.0
LI,2009,67.0
LI,2010,67.0
LI,2011,67.0
LI,2012,67.0
LI,2013,67.0
LI,2014,66.0
LI,2015,66.0
LI,2016,65.0
LI,2017,65.0
LI,2018,65.0
LI,2019,65.0
LU,2008,381.0
LU,2009,381.0
LU,2010,381.0
LU,2011,381.0
LU,2012,381.0
LU,2013,381.0
LU,2014,381.0
LU,2015,381.0
LU,2016,381.0
LU,2017,381.0
LU,2018,376.0
LU,2019,376.0
LV,2008,2299.0
LV,2009,1914.0
LV,2010,1928.0
LV,2011,1895.0
LV,2012,1889.0
LV,2013,1889.0
LV,2014,1890.0
LV,2015,1890.0
LV,2016,1889.0
LV,2017,1889.0
LV,2018,1889.0
LV,2019,1889.0
NL,2008,3910.0
NL,2009,3922.0
NL,2010,4076.0
NL,2011,4077.0
NL,2012,4079.0
NL,2013,4079.0
NL,2014,4110.0
NL,2015,4110.0
NL,2016,3975.0
NL,2017,3974.0
