Country,Year,RailwayTransportKm
AT,2009,9620.0
BE,2009,10237.0
BG,2009,2138.0
CH,2009,17223.0
CZ,2009,6472.0
DE,2009,81206.0
DK,2009,5967.0
EE,2009,249.0
EL,2009,1467.0
ES,2009,22742.0
FI,2009,3876.0
FR,2009,88610.0
HR,2009,1802.0
HU,2009,8003.0
IE,2009,1683.0
IT,2009,44404.0
LT,2009,231.0
LV,2009,748.0
MK,2009,155.0
PL,2009,18128.0
PT,2009,4213.0
RO,2009,5975.0
SE,2009,11321.0
SI,2009,773.0
SK,2009,2264.0
TR,2009,5374.0
UK,2009,52765.0
AT,2010,9713.0
BE,2010,10498.0
BG,2010,2090.0
CH,2010,17800.0
CZ,2010,6559.0
DE,2010,82837.0
DK,2010,6148.0
EE,2010,247.0
EL,2010,1383.0
ES,2010,22044.0
FI,2010,3959.0
HR,2010,1711.0
HU,2010,7653.0
IE,2010,1678.0
IT,2010,43349.0
LT,2010,244.0
LU,2010,347.0
LV,2010,741.0
MK,2010,155.0
NO,2010,3076.0
PL,2010,17485.0
PT,2010,4111.0
RO,2010,5248.0
SE,2010,11155.0
SI,2010,729.0
SK,2010,2309.0
TR,2010,5491.0
UK,2010,55831.0
AT,2011,10172.0
BE,2011,10498.0
BG,2011,2059.0
CH,2011,18320.0
DE,2011,89316.0
DK,2011,6395.0
EE,2011,243.0
EL,2011,958.0
ES,2011,22645.0
FI,2011,3882.0
FR,2011,91298.0
HR,2011,1457.0
HU,2011,7763.0
IE,2011,1638.0
IT,2011,45944.0
LT,2011,269.0
LU,2011,349.0
LV,2011,733.0
MK,2011,145.0
NO,2011,3076.0
PL,2011,17633.0
PT,2011,4237.0
RO,2011,5044.0
SE,2011,11379.0
SI,2011,689.0
SK,2011,2431.0
TR,2011,5882.0
UK,2011,58462.0
AT,2012,10606.0
BG,2012,1870.0
CH,2012,18115.0
CZ,2012,7196.0
DE,2012,93918.0
DK,2012,6534.0
EE,2012,235.0
EL,2012,832.0
ES,2012,22170.0
FI,2012,4035.0
FR,2012,91205.0
HR,2012,1080.0
HU,2012,7769.0
IE,2012,1578.0
