unit,tra_cov,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
MIO_PKM,TOTAL,AT	9620 	9713 	10172 	10606 	11188 	11345 	11433 	12021 	12077 	12681 	12761 	6964 
MIO_PKM,TOTAL,BE	10237 	10498 	10498 	: 	: c	: c	: c	: c	: c	: c	: c	: c
MIO_PKM,TOTAL,BG	2138 	2090 	2059 	1870 	1821 	1698 	1549 	1455 	1434 	1476 	1520 	1118 
MIO_PKM,TOTAL,CH	17223 	17800 	18320 	18115 	18277 	18801 	19089 	19573 	19586 	19245 	20315 	12425 
MIO_PKM,TOTAL,CZ	6472 	6559 	: 	7196 	7512 	7644 	8125 	8738 	9403 	10220 	10856 	6623 
MIO_PKM,TOTAL,DE	81206 	82837 	89316 	93918 	89450 	90978 	91050 	95465 	95529 	98161 	100252 	57470 
MIO_PKM,TOTAL,DK	5967 	6148 	6395 	6534 	6566 	6513 	6507 	6332 	6280 	6182 	6174 	3940 
MIO_PKM,TOTAL,EE	249 	247 	243 	235 	223 	280 	286 	316 	366 	417 	392 	263 
MIO_PKM,TOTAL,EL	1467 	1383 	958 	832 	1056 	1072 	1263 	1192 	1112 	1104 	1252 	640 
MIO_PKM,TOTAL,ES	22742 	22044 	22645 	22170 	23660 	24915 	26018 	26532 	27374 	28317 	28703 	11987 
MIO_PKM,TOTAL,EU27_2007	: c	: c	: c	: 	: c	: c	441366 	450298 	463983 	470954 	486844 	: 
MIO_PKM,TOTAL,EU27_2020	: c	: c	: c	: 	: c	: c	375713 	383115 	395807 	401996 	415744 	223210 
MIO_PKM,TOTAL,EU28	: c	: c	: c	: 	: c	: c	442307 	451125 	464719 	471702 	487568 	: 
MIO_PKM,TOTAL,FI	3876 	3959 	3882 	4035 	4053 	3874 	4114 	3868 	4271 	4535 	4924 	2820 
MIO_PKM,TOTAL,FR	88610 	: c	91298 	91205 	90485 	89499 	91377 	90612 	96690 	93387 	98360 	56465 
MIO_PKM,TOTAL,HR	1802 	1711 	1457 	1080 	935 	917 	941 	827 	736 	747 	724 	448 
MIO_PKM,TOTAL,HU	8003 	7653 	7763 	7769 	7806 	7710 	: c	: c	: c	: c	: c	: c
MIO_PKM,TOTAL,IE	1683 	1678 	1638 	1578 	1569 	1728 	1918 	1991 	2122 	2281 	2399 	835 
MIO_PKM,TOTAL,IT	44404 	43349 	45944 	45753 	47707 	48881 	51121 	51716 	52778 	55037 	56160 	22064 
MIO_PKM,TOTAL,LT	231 	244 	269 	278 	278 	270 	262 	280 	315 	354 	359 	237 
MIO_PKM,TOTAL,LU	: 	347 	349 	373 	394 	366 	418 	417 	438 	443 	463 	268 
MIO_PKM,TOTAL,LV	748 	741 	733 	717 	721 	644 	590 	584 	596 	624 	643 	413 
MIO_PKM,TOTAL,MK	155 	155 	145 	99 	80 	80 	177 	83 	59 	63 	62 	25 
MIO_PKM,TOTAL,NL	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
MIO_PKM,TOTAL,NO	: 	3076 	3076 	3092 	3260 	3440 	3555 	3695 	3584 	3722 	3715 	1801 
MIO_PKM,TOTAL,PL	18128 	17485 	17633 	17110 	16453 	15479 	17024 	18753 	20120 	20849 	21834 	: c
MIO_PKM,TOTAL,PT	4213 	4111 	4237 	3803 	3649 	3852 	3957 	4266 	4516 	4570 	5055 	2563 
MIO_PKM,TOTAL,RO	5975 	5248 	5044 	4518 	4352 	4971 	4910 	4731 	5556 	5426 	5735 	3609 
MIO_PKM,TOTAL,SE	11321 	11155 	11379 	11792 	11842 	12121 	12741 	12800 	13331 	13547 	14617 	8129 
MIO_PKM,TOTAL,SI	773 	729 	689 	659 	679 	620 	628 	611 	570 	568 	572 	338 
MIO_PKM,TOTAL,SK	2264 	2309 	2431 	2459 	2485 	2583 	3411 	3484 	3754 	3792 	3957 	2133 
MIO_PKM,TOTAL,TR	5374 	5491 	5882 	4598 	3775 	4393 	4828 	4325 	4566 	5560 	11068 	6094 
MIO_PKM,TOTAL,UK	52765 	55831 	58462 	60783 	61950 	64711 	66594 	68010 	68912 	69706 	71823 	: 
