TypeOfRoad,Unit,Country,Year,RoadTrafficDeaths
MWAY,NR,AT,2000,126.0
MWAY,NR,BE,2000,236.0
MWAY,NR,CZ,2000,45.0
MWAY,NR,DE,2000,907.0
MWAY,NR,DK,2000,29.0
MWAY,NR,EL,2000,61.0
MWAY,NR,ES,2000,347.0
MWAY,NR,FI,2000,13.0
MWAY,NR,FR,2000,517.0
MWAY,NR,IE,2000,4.0
MWAY,NR,IT,2000,764.0
MWAY,NR,LU,2000,9.0
MWAY,NR,NL,2000,138.0
MWAY,NR,PL,2000,44.0
MWAY,NR,PT,2000,123.0
MWAY,NR,RO,2000,11.0
MWAY,NR,SE,2000,25.0
MWAY,NR,SI,2000,57.0
MWAY,NR,UK,2000,188.0
MWAY,RT,AT,2000,1.6
MWAY,RT,BE,2000,2.3
MWAY,RT,CZ,2000,0.4
MWAY,RT,DE,2000,1.1
MWAY,RT,DK,2000,0.5
MWAY,RT,EL,2000,0.6
MWAY,RT,ES,2000,0.9
MWAY,RT,FI,2000,0.3
MWAY,RT,FR,2000,0.9
MWAY,RT,IE,2000,0.1
MWAY,RT,IT,2000,1.3
MWAY,RT,LU,2000,2.1
MWAY,RT,NL,2000,0.9
MWAY,RT,PL,2000,0.1
MWAY,RT,PT,2000,1.2
MWAY,RT,RO,2000,0.0
MWAY,RT,SE,2000,0.3
MWAY,RT,SI,2000,2.9
MWAY,RT,UK,2000,0.3
RD_RUR,NR,AT,2000,633.0
RD_RUR,NR,BE,2000,831.0
RD_RUR,NR,CZ,2000,828.0
RD_RUR,NR,DE,2000,4767.0
RD_RUR,NR,DK,2000,288.0
RD_RUR,NR,EL,2000,1282.0
RD_RUR,NR,ES,2000,4338.0
RD_RUR,NR,FI,2000,280.0
RD_RUR,NR,FR,2000,5290.0
RD_RUR,NR,IE,2000,288.0
RD_RUR,NR,IT,2000,3130.0
RD_RUR,NR,LU,2000,47.0
RD_RUR,NR,NL,2000,570.0
RD_RUR,NR,PL,2000,3370.0
RD_RUR,NR,PT,2000,996.0
RD_RUR,NR,RO,2000,458.0
RD_RUR,NR,SE,2000,404.0
RD_RUR,NR,SI,2000,156.0
RD_RUR,NR,UK,2000,1931.0
RD_RUR,RT,AT,2000,7.9
RD_RUR,RT,BE,2000,8.1
RD_RUR,RT,CZ,2000,8.1
RD_RUR,RT,DE,2000,5.8
RD_RUR,RT,DK,2000,5.4
RD_RUR,RT,EL,2000,11.9
RD_RUR,RT,ES,2000,10.7
RD_RUR,RT,FI,2000,5.4
RD_RUR,RT,FR,2000,8.7
RD_RUR,RT,IE,2000,7.6
RD_RUR,RT,IT,2000,5.5
RD_RUR,RT,LU,2000,10.8
RD_RUR,RT,NL,2000,3.6
RD_RUR,RT,PL,2000,8.8
RD_RUR,RT,PT,2000,9.7
RD_RUR,RT,RO,2000,2.0
